Name;DataType;LogicalAddress;Comment
FDo_C_CambioFormato_Bordatrice;Bool;%Q1000.1;0DO1 - 169KA1/KA2
FDo_C_HU_Pareggiatore_STO_CYTROPACK;Bool;%Q1000.5;0DO5 - 280KA1/KA2
FDo_C_HU_Aspo;Bool;%Q1000.2;0DO2 - 206KA1/KA2 Motoe pompa C.Olio Aspi
FDo_V_Air_A0301_A0302;Bool;%Q1558.0;200DO0 - 180YV1 - Valvola taglio aria A0301 (Ribaltamento) + A0302 ingresso (bordatrice)
FDo_EStop_Coda_BloccaggioCremagliera_PistonePareggLong;Bool;%Q1414.0;300DO0 - 284KA1/KA2
FDo_V_Air_A0302_A0303;Bool;%Q1420.0;310DO0 - 182YV1 - Valvola taglio aria zona pareggiamento e preparazione pacco
FDo_Ev_Stand_BY_HU_Pareggiatore;Bool;%Q1420.1;310D01 - 282YV1
FDo_EStop_Testa_BloccaggioCremagliera;Bool;%Q1507.0;286KA1/KA2 - 350DO0
FDo_C_HU_Area01;Bool;%Q1000.3;0DO3 - 220KA1/KA2 Motore pompa C.Olio Area 01
FDo_C_HU_FinalCut;Bool;%Q1000.4;0DO4 - 248KA1/KA2
FDo_V_DecoilersHorizRot;Bool;%Q1093.0;100DO0 - 206KA3/KA4
FDo_V_Aspo_1;Bool;%Q1093.1;100DO1 - 206KA5/KA6 Contattore c/Feedback
FDo_V_Aspo_2;Bool;%Q1093.2;100DO2 - 206KA7/KA8 Contattore c/Feedback
FDo_V_CoilCar;Bool;%Q1093.3;100DO3 - 222KA1/KA2
FDo_V_Peeler;Bool;%Q1093.4;100DO4 - 224KA1/KA2
FDo_V_FinalCut;Bool;%Q1093.5;100DO5 - 250KA1/KA2
FDo_V_Air_Gen;Bool;%Q1107.0;110DO0 - 174YV1
FDo_V_StandBY_HU_Aspo;Bool;%Q1107.1;110D01 - 208YV1
FDo_V_StandBY_HU_Area01;Bool;%Q1107.2;110D02 - 221YV1
FDo_V_Accumulatore_HU_Area01;Bool;%Q1107.3;110DO3 - 221YV2
FDo_V_JB_Cut_Rest;Bool;%Q1112.0;111DO0 - 226YV1
FDo_V_JB_Cut_Work;Bool;%Q1112.1;111DO1 - 226YV2
FDo_V_StandBY_HU_FinalCut;Bool;%Q1117.0;120DO0 - 249YV1
FDo_V_Accumulatore_HU_FinalCut;Bool;%Q1117.1;120DO1 - 249YV2
FDo_C_CambioFormato_Profilatrice;Bool;%Q1000.0;0DO0 - 168KA1/KA2
Fdbk_V_DecoilersHorizRot_Ch1;Bool;%I104.6;209SQ1
Fdbk_V_DecoilersHorizRot_Ch2;Bool;%I104.7;209SQ1
Fdbk_V_Aspo01_Ch1;Bool;%I105.0;210SQ1
Fdbk_V_Aspo01_Ch2;Bool;%I105.1;210SQ1
Fdbk_V_Aspo02_Ch1;Bool;%I105.2;212SQ1
Fdbk_V_Aspo02_Ch2;Bool;%I105.3;212SQ1
Fbdk_V_CoilCar_Ch1;Bool;%I105.4;222SQ1
Fbdk_V_CoilCar_Ch2;Bool;%I105.5;222SQ1
Fbdk_V_Peeler_Ch1;Bool;%I105.6;224SQ1
Fbdk_V_Peeler_Ch2;Bool;%I105.7;224SQ1
Fbdk_V_JB_Cut_Ch1;Bool;%I106.0;226SQ1
Fdbk_V_FinalCut_Ch1;Bool;%I108.6;250SQ1
Fdbk_V_FinalCut_Ch2;Bool;%I108.7;250SQ1
Fdbk_V_Air_Gen_Ch1;Bool;%I102.4;174SQ1
Fdbk_V_Air_Gen_Ch2;Bool;%I102.3;174SQ1
Fdbk_FDo_Bloccaggio_Valve;Bool;%I360.1;286KA1/KA2
Fbkk_C_Sezionatrice_FinalCut;Bool;%I101.5;250KA1/KA2
Fdbk_C_Peeler;Bool;%I101.3;224KA1/KA2
Fdbk_C_CoilCar;Bool;%I101.2;222KA1/KA2
HU_B.Taglio_Motore_Controllo_Sicurezza;Bool;%I6.5;248KA1/KA2
Fdbk_FDo_Bloccaggio_Pareggiatore_Valves;Bool;%I309.5;284KA1
FDo_V_Air_A0304;Bool;%Q1420.2;310DO2 - 183YV1
FDo_EStop_Coda_BloccaggioCremagliera_PistonePareggLong_VS;Bool;%I1414.0;300DO0 - 284KA1/KA2
FDo_EStop_Testa_BloccaggioCremagliera_VS;Bool;%I1507.0;286KA1/KA2 - 350DO0
QBAD_FDo_C_CambioFormato_Bordatrice;Bool;%I1000.1;
QBAD_FDo_C_CambioFormato_Profilatrice;Bool;%I1000.0;
QBAD_FDo_C_HU_Aspo;Bool;%I1000.2;
QBAD_FDo_C_HU_Area01;Bool;%I1000.3;
QBAD_FDo_C_HU_FinalCut;Bool;%I1000.4;
QBAD_FDo_FDo_C_HU_Pareggiatore_STO_CYTROPACK;Bool;%I1000.5;
QBAD_FDo_V_DecoilersHorizRot;Bool;%I1093.0;
QBAD_FDo_V_Aspo_1;Bool;%I1093.1;
QBAD_FDo_V_Aspo_2;Bool;%I1093.2;
QBAD_FDo_V_CoilCar;Bool;%I1093.3;
