Name;DataType;LogicalAddress;Comment
Cassetta1_OP_StsIn;udt_LDrvSafe_typeSinaSTlg30Status;%I710.0;
Cassetta1_OP_CtrlOut;udt_LDrvSafe_typeSinaSTlg30Control;%Q710.0;
Cassetta1_MOT_StsIn;udt_LDrvSafe_typeSinaSTlg30Status;%I720.0;
Cassetta1_MOT_CtrlOut;udt_LDrvSafe_typeSinaSTlg30Control;%Q720.0;
Cassetta2_OP_StsIn;udt_LDrvSafe_typeSinaSTlg30Control;%I730.0;
Cassetta2_OP_CtrlOut;udt_LDrvSafe_typeSinaSTlg30Control;%Q730.0;
Cassetta2_MOT_StsIn;udt_LDrvSafe_typeSinaSTlg30Control;%I740.0;
Cassetta2_MOT_CtrlOut;udt_LDrvSafe_typeSinaSTlg30Control;%Q740.0;
Cassetta3_OP_StsIn;udt_LDrvSafe_typeSinaSTlg30Control;%I750.0;
Cassetta3_OP_CtrlOut;udt_LDrvSafe_typeSinaSTlg30Control;%Q750.0;
Cassetta3_MOT_StsIn;udt_LDrvSafe_typeSinaSTlg30Control;%I760.0;
Cassetta3_MOT_CtrlOut;udt_LDrvSafe_typeSinaSTlg30Control;%Q760.0;
Rollfomer_StsIn;udt_LDrvSafe_typeSinaSTlg30Control;%I276.0;
Rollfomer_CtrlOut;udt_LDrvSafe_typeSinaSTlg30Control;%Q276.0;
FAK_Pusher_StsIn;udt_LDrvSafe_typeSinaSTlg30Control;%I648.0;
FAK_Pusher_CtrlOut;udt_LDrvSafe_typeSinaSTlg30Control;%Q648.0;
Carriage_StsIn;udt_LDrvSafe_typeSinaSTlg30Control;%I282.0;
Carriage_CtrlOut;udt_LDrvSafe_typeSinaSTlg30Control;%Q282.0;
AccRolls1_StsIn;udt_LDrvSafe_typeSinaSTlg30Control;%I608.0;
AccRolls1_CtrlOut;udt_LDrvSafe_typeSinaSTlg30Control;%Q608.0;
AccRolls2_StsIn;udt_LDrvSafe_typeSinaSTlg30Control;%I618.0;
AccRolls2_CtrlOut;udt_LDrvSafe_typeSinaSTlg30Control;%Q618.0;
AccRolls3_StsIn;udt_LDrvSafe_typeSinaSTlg30Control;%I628.0;
AccRolls3_CtrlOut;udt_LDrvSafe_typeSinaSTlg30Control;%Q628.0;
