Name;DataType;LogicalAddress;Comment
A0301_Rulliera_Phc_1;Bool;%I201.2;1445BF1
A0301_Rulliera_Phc_2;Bool;%I201.3;1445SQ1/SQ2/SQ3/SQ4
A0301_Rulliera_Phc_3;Bool;%I201.4;1445SQ5/SQ6/SQ7/SQ8
A0301_Rulliera_Phc_4;Bool;%I201.5;1446SQ1/SQ2/SQ3/SQ4
A0301_Rulliera_Phc_5;Bool;%I201.6;1446BF1
A0301_Spintore_1_Verticale_Ls_Rest;Bool;%I201.7;1450SQ1
A0301_Spintore_1_Verticale_V_Rest;Bool;%Q210.0;1450YV1
A0301_Spintore_1_Verticale_V_Work;Bool;%Q210.1;1450YV2
A0301_Spintore_1_Laterale_Ls_Rest;Bool;%I202.0;1450SQ2
A0301_Spintore_1_Laterale_V_Rest;Bool;%Q210.2;1450YV3
A0301_Spintore_1_Laterale_V_Work;Bool;%Q210.3;1450YV4
A0301_Spintore_1_Laterale_Ls_Work;Bool;%I202.1;1450SQ3
A0301_Spintore_2_Verticale_Ls_Rest;Bool;%I202.2;1451SQ1
A0301_Spintore_2_Verticale_V_Rest;Bool;%Q210.4;1451YV1
A0301_Spintore_2_Verticale_V_Work;Bool;%Q210.5;1451YV2
A0301_Spintore_2_Laterale_Ls_Rest;Bool;%I202.3;1451SQ2
A0301_Spintore_2_Laterale_V_Rest;Bool;%Q210.6;1451YV3
A0301_Spintore_2_Laterale_V_Work;Bool;%Q210.7;1451YV4
A0301_Spintore_2_Laterale_Ls_Work;Bool;%I202.4;1451SQ3
A0301_Spintore_3_Verticale_Ls_Rest;Bool;%I202.5;1452SQ1
A0301_Spintore_3_Verticale_V_Rest;Bool;%Q211.0;1452YV1
A0301_Spintore_3_Verticale_V_Work;Bool;%Q211.1;1452YV2
A0301_Spintore_3_Laterale_Ls_Rest;Bool;%I202.6;1452SQ2
A0301_Spintore_3_Laterale_V_Rest;Bool;%Q211.2;1452YV3
A0301_Spintore_3_Laterale_V_Work;Bool;%Q211.3;1452YV4
A0301_Spintore_3_Laterale_Ls_Work;Bool;%I202.7;1452SQ3
A0301_Spintore_4_Verticale_Ls_Rest;Bool;%I203.0;1453SQ1
A0301_Spintore_4_Verticale_V_Rest;Bool;%Q211.4;1453YV1
A0301_Spintore_4_Verticale_V_Work;Bool;%Q211.5;1453YV2
A0301_Spintore_4_Laterale_Ls_Rest;Bool;%I203.1;1453SQ2
A0301_Spintore_4_Laterale_V_Rest;Bool;%Q211.6;1453YV3
A0301_Spintore_4_Laterale_V_Work;Bool;%Q211.7;1453YV4
A0301_Spintore_4_Laterale_Ls_Work;Bool;%I203.2;1453SQ3
A0301_Spintore_5_Verticale_Ls_Rest;Bool;%I203.3;1454SQ1
A0301_Spintore_5_Verticale_V_Rest;Bool;%Q212.0;1454YV1
A0301_Spintore_5_Verticale_V_Work;Bool;%Q212.1;1454YV2
A0301_Spintore_5_Laterale_Ls_Rest;Bool;%I203.4;1454SQ2
A0301_Spintore_5_Laterale_V_Rest;Bool;%Q212.2;1454YV3
A0301_Spintore_5_Laterale_V_Work;Bool;%Q212.3;1454YV4
A0301_Spintore_5_Laterale_Ls_Work;Bool;%I203.5;1454SQ3
A0301_Spintore_6_Verticale_Ls_Rest;Bool;%I203.6;1455SQ1
A0301_Spintore_6_Verticale_V_Rest;Bool;%Q212.4;1455YV1
A0301_Spintore_6_Verticale_V_Work;Bool;%Q212.5;1455YV2
A0301_Spintore_6_Laterale_Ls_Rest;Bool;%I203.7;1455SQ2
A0301_Spintore_6_Laterale_V_Rest;Bool;%Q212.6;1455YV3
A0301_Spintore_6_Laterale_V_Work;Bool;%Q212.7;1455YV4
A0301_Spintore_6_Laterale_Ls_Work;Bool;%I204.0;1455SQ3
A0301_Scivolo_1_Phc_1;Bool;%I204.1;1470SQ1
A0301_Scivolo_1_Phc_2;Bool;%I204.2;1470SQ2
A0301_Scivolo_1_Phc_3;Bool;%I204.3;1470SQ3
A0301_Scivolo_1_Phc_4;Bool;%I204.4;1470SQ4
A0301_Cinghia_1_Phc_1;Bool;%I253.0;1510SQ1
A0301_Cinghia_1_Phc_4;Bool;%I253.3;1510SQ4
A0301_Cinghia_1_Phc_2;Bool;%I253.1;1510SQ2
A0301_Cinghia_1_Phc_3;Bool;%I253.2;1510SQ3
A0301_Cinghia_1_Phc_5;Bool;%I253.4;1510SQ5
A0301_Cinghia_1_Phc_6;Bool;%I253.5;1510SQ6
A0301_Cinghia_1_Phc_7;Bool;%I253.6;1510SQ7
A0301_Cinghia_1_Phc_8;Bool;%I253.7;1510SQ8
A0301_Cinghia_2_Phc_1;Bool;%I254.0;1511SQ1
A0301_Cinghia_2_Phc_2;Bool;%I254.1;1511SQ2
A0301_Cinghia_2_Phc_3;Bool;%I254.2;1511SQ3
A0301_Cinghia_2_Phc_4;Bool;%I254.3;1511SQ4
A0301_Cinghia_2_Phc_5;Bool;%I254.4;1511SQ5
A0301_Cinghia_2_Phc_6;Bool;%I254.5;1511SQ6
A0301_Cinghia_2_Phc_7;Bool;%I254.6;1511SQ7
A0301_Cinghia_2_Phc_8;Bool;%I254.7;1511SQ8
A0301_Cinghia_4_Phc_1;Bool;%I255.0;1513SQ1
A0301_Cinghia_4_Phc_2;Bool;%I255.1;1513SQ2
A0301_Cinghia_4_Phc_3;Bool;%I255.2;1513SQ3
A0301_Cinghia_4_Phc_4;Bool;%I255.3;1513SQ4
A0301_Cinghia_4_Phc_5;Bool;%I255.4;1513SQ5
A0301_Cinghia_4_Phc_6;Bool;%I255.5;1513SQ6
A0301_Cinghia_4_Phc_7;Bool;%I255.6;1513SQ7
A0301_Cinghia_4_Phc_8;Bool;%I255.7;1513SQ8
A0301_CinghiaTrasporto_1.1_Ls_Rest_1;Bool;%I256.0;1530SQ1
A0301_CinghiaTrasporto_1.1_Ls_Work_2;Bool;%I256.1;1530SQ2
A0301_CinghiaTrasporto_1.1_Ls_Rest_3;Bool;%I256.2;1530SQ3
A0301_CinghiaTrasporto_1.1_Ls_Work_4;Bool;%I256.3;1530SQ4
A0301_CinghiaTrasporto_1.1_Ls_Rest_5;Bool;%I256.4;1530SQ5
A0301_CinghiaTrasporto_1.1_Ls_Work_6;Bool;%I256.5;1530SQ6
A0301_CinghiaTrasporto_1.1_Ls_Rest_7;Bool;%I256.6;1530SQ7
A0301_CinghiaTrasporto_1.2_Ls_Rest_1;Bool;%I257.0;1531SQ1
A0301_CinghiaTrasporto_1.2_Ls_Work_2;Bool;%I257.1;1531SQ2
A0301_CinghiaTrasporto_1.2_Ls_Rest_3;Bool;%I257.2;1531SQ3
A0301_CinghiaTrasporto_1.2_Ls_Work_4;Bool;%I257.3;1531SQ4
A0301_CinghiaTrasporto_1.2_Ls_Rest_5;Bool;%I257.4;1531SQ5
A0301_CinghiaTrasporto_2.1_Ls_Rest_1;Bool;%I258.0;1532SQ1
A0301_CinghiaTrasporto_2.1_Ls_Work_2;Bool;%I258.1;1532SQ2
A0301_CinghiaTrasporto_2.1_Ls_Rest_3;Bool;%I258.2;1532SQ3
A0301_CinghiaTrasporto_2.1_Ls_Work_4;Bool;%I258.3;1532SQ4
A0301_CinghiaTrasporto_2.1_Ls_Rest_5;Bool;%I258.4;1532SQ5
A0301_CinghiaTrasporto_2.1_Ls_Work_6;Bool;%I258.5;1532SQ6
A0301_CinghiaTrasporto_2.1_Ls_Rest_7;Bool;%I258.6;1532SQ7
A0301_CinghiaTrasporto_2.2_Ls_Rest_1;Bool;%I259.0;1533SQ1
A0301_CinghiaTrasporto_2.2_Ls_Work_2;Bool;%I259.1;1533SQ2
A0301_CinghiaTrasporto_2.2_Ls_Rest_3;Bool;%I259.2;1533SQ3
A0301_CinghiaTrasporto_2.2_Ls_Work_4;Bool;%I259.3;1533SQ4
A0301_CinghiaTrasporto_2.2_Ls_Rest_5;Bool;%I259.4;1533SQ5
A0301_CinghiaTrasporto_3.1_Ls_Rest_1;Bool;%I260.0;1534SQ1
A0301_CinghiaTrasporto_3.1_Ls_Work_2;Bool;%I260.1;1534SQ2
A0301_CinghiaTrasporto_3.1_Ls_Rest_3;Bool;%I260.2;1534SQ3
A0301_CinghiaTrasporto_3.1_Ls_Work_4;Bool;%I260.3;1534SQ4
A0301_CinghiaTrasporto_3.1_Ls_Rest_5;Bool;%I260.4;1534SQ5
A0301_CinghiaTrasporto_3.1_Ls_Work_6;Bool;%I260.5;1534SQ6
A0301_CinghiaTrasporto_3.1_Ls_Rest_7;Bool;%I260.6;1534SQ7
A0301_SpintoreLaterale_2_V_Work_2;Bool;%Q273.3;1574YV4
A0301_SpintoreLaterale_2_V_Work_1;Bool;%Q273.1;1574YV2
A0301_SpintoreLaterale_2_V_Rest_2;Bool;%Q273.2;1574YV3
A0301_SpintoreLaterale_2_V_Rest_1;Bool;%Q273.0;1574YV1
A0301_SpintoreLaterale_2_Ls_Work_2;Bool;%I269.0;1574SQ4
A0301_SpintoreLaterale_2_Ls_Work_1;Bool;%I268.6;1574SQ2
A0301_SpintoreLaterale_2_Ls_Rest_2;Bool;%I268.7;1574SQ3
A0301_SpintoreLaterale_2_Ls_Rest_1;Bool;%I268.5;1574SQ1
A0301_SpintoreLaterale_1_V_Work_2;Bool;%Q260.7;1570YV4
A0301_SpintoreLaterale_1_V_Work_1;Bool;%Q260.5;1570YV2
A0301_SpintoreLaterale_1_V_Rest_2;Bool;%Q260.6;1570YV3
A0301_SpintoreLaterale_1_V_Rest_1;Bool;%Q260.4;1570YV1
A0301_SpintoreLaterale_1_Ls_Work_2;Bool;%I268.4;1570SQ4
A0301_SpintoreLaterale_1_Ls_Work_1;Bool;%I268.2;1570SQ2
A0301_SpintoreLaterale_1_Ls_Rest_2;Bool;%I268.3;1570SQ3
A0301_SpintoreLaterale_1_Ls_Rest_1;Bool;%I268.1;1570SQ1
A0301_Ribaltatore_Ls_Minimo;Bool;%I252.7;1562SQ1
A0301_Ribaltatore_Ls_Massimo;Bool;%I268.0;1562SQ2
A0301_CinghiaTrasporto_6.2_V_Work_4;Bool;%Q272.3;1541YV4
A0301_CinghiaTrasporto_6.2_V_Work_2;Bool;%Q272.1;1541YV2
A0301_CinghiaTrasporto_6.2_V_Rest_5;Bool;%Q272.4;1541YV5
A0301_CinghiaTrasporto_6.2_V_Rest_3;Bool;%Q272.2;1541YV3
A0301_CinghiaTrasporto_6.2_V_Rest_1;Bool;%Q272.0;1541YV1
A0301_CinghiaTrasporto_6.2_Ls_Work_4;Bool;%I267.3;1541SQ4
A0301_CinghiaTrasporto_6.2_Ls_Work_2;Bool;%I267.1;1541SQ2
A0301_CinghiaTrasporto_6.2_Ls_Rest_5;Bool;%I267.4;1541SQ5
A0301_CinghiaTrasporto_6.2_Ls_Rest_3;Bool;%I267.2;1541SQ3
A0301_CinghiaTrasporto_6.2_Ls_Rest_1;Bool;%I267.0;1541SQ1
A0301_CinghiaTrasporto_6.1_V_Work_6;Bool;%Q271.5;1540YV6
A0301_CinghiaTrasporto_6.1_V_Work_4;Bool;%Q271.3;1540YV4
A0301_CinghiaTrasporto_6.1_V_Work_2;Bool;%Q271.1;1540YV2
A0301_CinghiaTrasporto_6.1_V_Rest_7;Bool;%Q271.6;1540YV7
A0301_CinghiaTrasporto_6.1_V_Rest_5;Bool;%Q271.4;1540YV5
A0301_CinghiaTrasporto_6.1_V_Rest_3;Bool;%Q271.2;1540YV3
A0301_CinghiaTrasporto_6.1_V_Rest_1;Bool;%Q271.0;1540YV1
A0301_CinghiaTrasporto_6.1_Ls_Work_6;Bool;%I266.5;1540SQ6
A0301_CinghiaTrasporto_6.1_Ls_Work_4;Bool;%I266.3;1540SQ4
A0301_CinghiaTrasporto_6.1_Ls_Work_2;Bool;%I266.1;1540SQ2
A0301_CinghiaTrasporto_6.1_Ls_Rest_7;Bool;%I266.6;1540SQ7
A0301_CinghiaTrasporto_6.1_Ls_Rest_5;Bool;%I266.4;1540SQ5
A0301_CinghiaTrasporto_6.1_Ls_Rest_3;Bool;%I266.2;1540SQ3
A0301_CinghiaTrasporto_6.1_Ls_Rest_1;Bool;%I266.0;1540SQ1
A0301_CinghiaTrasporto_5.2_V_Work_4;Bool;%Q270.3;1539YV4
A0301_CinghiaTrasporto_5.2_V_Work_2;Bool;%Q270.1;1539YV2
A0301_CinghiaTrasporto_5.2_V_Rest_5;Bool;%Q270.4;1539YV5
A0301_CinghiaTrasporto_5.2_V_Rest_3;Bool;%Q270.2;1539YV3
A0301_CinghiaTrasporto_5.2_V_Rest_1;Bool;%Q270.0;1539YV1
A0301_CinghiaTrasporto_5.2_Ls_Work_4;Bool;%I265.3;1539SQ4
A0301_CinghiaTrasporto_5.2_Ls_Work_2;Bool;%I265.1;1539SQ2
A0301_CinghiaTrasporto_5.2_Ls_Rest_5;Bool;%I265.4;1539SQ5
A0301_CinghiaTrasporto_5.2_Ls_Rest_3;Bool;%I265.2;1539SQ3
A0301_CinghiaTrasporto_5.2_Ls_Rest_1;Bool;%I265.0;1539SQ1
A0301_CinghiaTrasporto_5.1_V_Work_6;Bool;%Q269.5;1538YV6
A0301_CinghiaTrasporto_5.1_V_Work_4;Bool;%Q269.3;1538YV4
A0301_CinghiaTrasporto_5.1_V_Work_2;Bool;%Q269.1;1538YV2
A0301_CinghiaTrasporto_5.1_V_Rest_7;Bool;%Q269.6;1538YV7
A0301_CinghiaTrasporto_5.1_V_Rest_5;Bool;%Q269.4;1538YV5
A0301_CinghiaTrasporto_5.1_V_Rest_3;Bool;%Q269.2;1538YV3
A0301_CinghiaTrasporto_5.1_V_Rest_1;Bool;%Q269.0;1538YV1
A0301_CinghiaTrasporto_5.1_Ls_Work_6;Bool;%I264.5;1538SQ6
A0301_CinghiaTrasporto_5.1_Ls_Work_4;Bool;%I264.3;1538SQ4
A0301_CinghiaTrasporto_5.1_Ls_Work_2;Bool;%I264.1;1538SQ2
A0301_CinghiaTrasporto_5.1_Ls_Rest_7;Bool;%I264.6;1538SQ7
A0301_CinghiaTrasporto_5.1_Ls_Rest_5;Bool;%I264.4;1538SQ5
A0301_CinghiaTrasporto_5.1_Ls_Rest_3;Bool;%I264.2;1538SQ3
A0301_CinghiaTrasporto_5.1_Ls_Rest_1;Bool;%I264.0;1538SQ1
A0301_CinghiaTrasporto_4.2_V_Work_4;Bool;%Q268.3;1537YV4
A0301_CinghiaTrasporto_4.2_V_Work_2;Bool;%Q268.1;1537YV2
A0301_CinghiaTrasporto_4.2_V_Rest_5;Bool;%Q268.4;1537YV5
A0301_CinghiaTrasporto_4.2_V_Rest_3;Bool;%Q268.2;1537YV3
A0301_CinghiaTrasporto_4.2_V_Rest_1;Bool;%Q268.0;1537YV1
A0301_CinghiaTrasporto_4.2_Ls_Work_4;Bool;%I263.3;1537SQ4
A0301_CinghiaTrasporto_4.2_Ls_Work_2;Bool;%I263.1;1537SQ2
A0301_CinghiaTrasporto_4.2_Ls_Rest_5;Bool;%I263.4;1537SQ5
A0301_CinghiaTrasporto_4.2_Ls_Rest_3;Bool;%I263.2;1537SQ3
A0301_CinghiaTrasporto_4.2_Ls_Rest_1;Bool;%I263.0;1537SQ1
A0301_CinghiaTrasporto_4.1_V_Work_6;Bool;%Q267.5;1536YV6
A0301_CinghiaTrasporto_4.1_V_Work_4;Bool;%Q267.3;1536YV4
A0301_CinghiaTrasporto_4.1_V_Work_2;Bool;%Q267.1;1536YV2
A0301_CinghiaTrasporto_4.1_V_Rest_7;Bool;%Q267.6;1536YV7
A0301_CinghiaTrasporto_4.1_V_Rest_5;Bool;%Q267.4;1536YV5
A0301_CinghiaTrasporto_4.1_V_Rest_3;Bool;%Q267.2;1536YV3
A0301_CinghiaTrasporto_4.1_V_Rest_1;Bool;%Q267.0;1536YV1
A0301_CinghiaTrasporto_4.1_Ls_Work_6;Bool;%I262.5;1536SQ6
A0301_CinghiaTrasporto_4.1_Ls_Work_4;Bool;%I262.3;1536SQ4
A0301_CinghiaTrasporto_4.1_Ls_Work_2;Bool;%I262.1;1536SQ2
A0301_CinghiaTrasporto_4.1_Ls_Rest_7;Bool;%I262.6;1536SQ7
A0301_CinghiaTrasporto_4.1_Ls_Rest_5;Bool;%I262.4;1536SQ5
A0301_CinghiaTrasporto_4.1_Ls_Rest_3;Bool;%I262.2;1536SQ3
A0301_CinghiaTrasporto_4.1_Ls_Rest_1;Bool;%I262.0;1536SQ1
A0301_CinghiaTrasporto_3.2_V_Work_4;Bool;%Q266.3;1535YV4
A0301_CinghiaTrasporto_3.2_V_Work_2;Bool;%Q266.1;1535YV2
A0301_CinghiaTrasporto_3.2_V_Rest_5;Bool;%Q266.4;1535YV5
A0301_CinghiaTrasporto_3.2_V_Rest_3;Bool;%Q266.2;1535YV3
A0301_CinghiaTrasporto_3.2_V_Rest_1;Bool;%Q266.0;1535YV1
A0301_CinghiaTrasporto_3.2_Ls_Work_4;Bool;%I261.3;1535SQ4
A0301_CinghiaTrasporto_3.2_Ls_Work_2;Bool;%I261.1;1535SQ2
A0301_CinghiaTrasporto_3.2_Ls_Rest_5;Bool;%I261.4;1535SQ5
A0301_CinghiaTrasporto_3.2_Ls_Rest_3;Bool;%I261.2;1535SQ3
A0301_CinghiaTrasporto_3.2_Ls_Rest_1;Bool;%I261.0;1535SQ1
A0301_CinghiaTrasporto_3.1_V_Work_6;Bool;%Q265.5;1534YV6
A0301_CinghiaTrasporto_3.1_V_Work_4;Bool;%Q265.3;1534YV4
A0301_CinghiaTrasporto_3.1_V_Work_2;Bool;%Q265.1;1534YV2
A0301_CinghiaTrasporto_3.1_V_Rest_7;Bool;%Q265.6;1534YV7
A0301_CinghiaTrasporto_3.1_V_Rest_5;Bool;%Q265.4;1534YV5
A0301_CinghiaTrasporto_3.1_V_Rest_3;Bool;%Q265.2;1534YV3
A0301_CinghiaTrasporto_3.1_V_Rest_1;Bool;%Q265.0;1534YV1
A0301_CinghiaTrasporto_2.2_V_Work_4;Bool;%Q264.3;1533YV4
A0301_CinghiaTrasporto_2.2_V_Work_2;Bool;%Q264.1;1533YV2
A0301_CinghiaTrasporto_2.2_V_Rest_5;Bool;%Q264.4;1533YV5
A0301_CinghiaTrasporto_2.2_V_Rest_3;Bool;%Q264.2;1533YV3
A0301_CinghiaTrasporto_2.2_V_Rest_1;Bool;%Q264.0;1533YV1
A0301_CinghiaTrasporto_2.1_V_Work_6;Bool;%Q263.5;1532YV6
A0301_CinghiaTrasporto_2.1_V_Work_4;Bool;%Q263.3;1532YV4
A0301_CinghiaTrasporto_2.1_V_Work_2;Bool;%Q263.1;1532YV2
A0301_CinghiaTrasporto_2.1_V_Rest_7;Bool;%Q263.6;1532YV7
A0301_CinghiaTrasporto_2.1_V_Rest_5;Bool;%Q263.4;1532YV5
A0301_CinghiaTrasporto_2.1_V_Rest_3;Bool;%Q263.2;1532YV3
A0301_CinghiaTrasporto_2.1_V_Rest_1;Bool;%Q263.0;1532YV1
A0301_CinghiaTrasporto_1.2_V_Work_4;Bool;%Q262.3;1531YV4
A0301_CinghiaTrasporto_1.2_V_Work_2;Bool;%Q262.1;1531YV2
A0301_CinghiaTrasporto_1.2_V_Rest_5;Bool;%Q262.4;1531YV5
A0301_CinghiaTrasporto_1.2_V_Rest_3;Bool;%Q262.2;1531YV3
A0301_CinghiaTrasporto_1.2_V_Rest_1;Bool;%Q262.0;1531YV1
A0301_CinghiaTrasporto_1.1_V_Work_6;Bool;%Q261.5;1530YV6
A0301_CinghiaTrasporto_1.1_V_Work_4;Bool;%Q261.3;1530YV4
A0301_CinghiaTrasporto_1.1_V_Work_2;Bool;%Q261.1;1530YV2
A0301_CinghiaTrasporto_1.1_V_Rest_7;Bool;%Q261.6;1530YV7
A0301_CinghiaTrasporto_1.1_V_Rest_5;Bool;%Q261.4;1530YV5
A0301_CinghiaTrasporto_1.1_V_Rest_3;Bool;%Q261.2;1530YV3
A0301_CinghiaTrasporto_1.1_V_Rest_1;Bool;%Q261.0;1530YV1
A0301_Sfalsatore_V_Work;Bool;%Q260.3;1500YV4
A0301_Sfalsatore_V_Rest;Bool;%Q260.2;1500YV3
A0301_Sfalsatore_Ls_Work;Bool;%I252.6;1500SQ4
A0301_Sfalsatore_Ls_Rest;Bool;%I252.5;1500SQ3
A0301_Pareggiatore_V_Work;Bool;%Q260.1;1500YV2
A0301_Pareggiatore_V_Rest;Bool;%Q260.0;1500YV1
A0301_Pareggiatore_Ls_Work;Bool;%I252.4;1500SQ2
A0301_Pareggiatore_Ls_Rest;Bool;%I252.3;1500SQ1
A0302_AI_SpintoreLaterale_1_Posizionamento;Int;%IW928;513A1 - 1572A1
A0302_AI_SpintoreLaterale_2_Posizionamento;Int;%IW930;513A1 - 1576A1
A0301_Scivolo_1_Phc_5_LIBERO;Bool;%I204.5;147005
A0301_Scivolo_1_Phc_6_LIBERO;Bool;%I204.6;147006
A0301_CinghiaTrasporto_1.1_V_Work_8;Bool;%Q261.7;1530YV8
A0301_CinghiaTrasporto_1.2_V_Work_6;Bool;%Q262.5;1531YV6
A0301_CinghiaTrasporto_2.1_V_Work_8;Bool;%Q263.7;1532YV8
A0301_CinghiaTrasporto_2.2_V_Work_6;Bool;%Q264.5;1533YV6
A0301_CinghiaTrasporto_3.1_V_Work_8;Bool;%Q265.7;1534YV8
A0301_CinghiaTrasporto_3.2_V_Work_6;Bool;%Q266.5;1535YV6
A0301_CinghiaTrasporto_4.1_V_Work_8;Bool;%Q267.7;1536YV8
