Name;DataType;LogicalAddress;Comment
JB_CutHead_Ls_Rest;Bool;%I130.0;882SQ1
JB_CutHead_Ls_Work;Bool;%I130.1;882SQ2
JB_PinchR_V_Close;Bool;%Q132.0;904YV2
JB_PinchR_Ls_Open;Bool;%I130.4;904SQ1
JB_PinchR_V_Open;Bool;%Q131.7;904YV1
JB_ClampEntry_Ls_Open;Bool;%I130.2;883SQ1
JB_ClampEntry_V_Work;Bool;%Q131.4;883YV2
JB_ClampEntry_V_Rest;Bool;%Q131.3;883YV1
JB_ClampExit_Ls_Rest;Bool;%I130.3;884SQ1
JB_ClampExit_V_Work;Bool;%Q131.6;884YV2
JB_ClampExit_V_Rest;Bool;%Q131.5;884YV1
JB_AI_Torch_Speed_Potentiometer;Int;%IW900;463A1 - 328RP1
JB_V_Libera_Apre;Bool;%Q132.1;906
JB_V_Libera_Chiude;Bool;%Q132.2;906
Controllo_Spessore_Lamiera_V_Soffio_Pulizia;Bool;%Q131.2;870YV1
JB_Welder_K_ON;Bool;%Q123.0;880KA1
JB_AspiratoreBanco_FbkRun;Bool;%I143.4;
JB_AspiratoreBanco_KmRun;Bool;%Q123.1;881KA1
