Name;DataType;LogicalAddress;Comment
LB111_Coilcar_Lp_Bwd;Bool;%Q114.7;321SH6
LB111_Coilcar_Lp_Down;Bool;%Q114.5;321SH4
LB111_Coilcar_Lp_Fwd;Bool;%Q114.6;321SH5
LB111_Coilcar_Lp_Up;Bool;%Q114.4;321SH3
LB111_Coilcar_Pb_Bwd;Bool;%I117.1;321SH6
LB111_Coilcar_Pb_Down;Bool;%I116.7;321SH4
LB111_Coilcar_Pb_Fwd;Bool;%I117.0;321SH5
LB111_Coilcar_Pb_Up;Bool;%I116.6;321SH3
LB111_Decoiler_Jaws_Lp_Close;Bool;%Q114.3;321SH2
LB111_Decoiler_Jaws_Lp_Open;Bool;%Q114.2;321SH1
LB111_Decoiler_Jaws_Pb_Close;Bool;%I116.5;321SH2
LB111_Decoiler_Jaws_Pb_Open;Bool;%I116.4;321SH1
LB111_Decoiler_Lp_Bwd;Bool;%Q114.1;320SH6
LB111_Decoiler_Lp_Fwd;Bool;%Q114.0;320SH5
LB111_Decoiler_Pb_Bwd;Bool;%I116.3;320SH6
LB111_Decoiler_Pb_Fwd;Bool;%I116.2;320SH5
LB111_Snubber_Lp_Bwd;Bool;%Q113.7;320SH4
LB111_Snubber_Lp_Down;Bool;%Q113.5;320SH2
LB111_Snubber_Lp_Fwd;Bool;%Q113.6;320SH3
LB111_Snubber_Lp_Up;Bool;%Q113.4;320SH1
LB111_Snubber_Pb_Bwd;Bool;%I116.1;320SH4
LB111_Snubber_Pb_Down;Bool;%I115.7;320SH2
LB111_Snubber_Pb_Fwd;Bool;%I116.0;320SH3
LB111_Snubber_Pb_Up;Bool;%I115.6;320SH1
LB111_Button_L;Bool;%I1027.3;103DI3 - 198SB3
LB111_Button_R;Bool;%I1027.7;103DI7 - 198SB4
