Name;DataType;LogicalAddress;Comment
MES_MSG_ITEMS;Int;100;
MES_MSG_TO_PLC_invioOrdineDiProduzione;UInt;100;
MES_MSG_TO_MES_inizioSetUp;UInt;101;
PLC_MSG_TO_MES_inizioSetup;UInt;101;
PLC_MSG_TO_MES_fineSetup;UInt;102;
MES_MSG_TO_PLC_interrogazioneStatoOrdine;UInt;130;
PLC_MSG_TO_MES_statoOrdineDiProduzione;UInt;131;
MES_MSG_TO_PLC_interrogazioneStatoPaccoPreparazione;UInt;200;
PLC_MSG_TO_MES_statoPaccoPreparazione;UInt;201;
MES_MSG_TO_PLC_interrogazioneStatoPaccoUscita;UInt;210;
PLC_MSG_TO_MES_statoPaccoUscita;UInt;211;
MES_MSG_TO_PLC_consensoCancellazionePaccoUscita;UInt;212;
MES_MSG_TO_PLC_sospensioneFineTurno;UInt;300;
MES_MSG_TO_PLC_sospensioneControlloQualita;UInt;301;
PLC_MSG_TO_MES_sospensioneProduzioneParti;UInt;310;
PLC_MSG_TO_MES_fineSospensioneProduzioneParti;UInt;311;
PLC_MSG_TO_MES_sospensioneProduzionePezzi;UInt;320;
PLC_MSG_TO_MES_fineSospensioneProduzionePezzi;UInt;321;
MES_MSG_TO_PLC_invioDatiRotoloAspoCarico;UInt;401;
MES_MSG_TO_PLC_rimozioneRotoloAspoCarico;UInt;402;
MES_MSG_TO_PLC_richiestaUlterioreProvino;UInt;403;
MES_MSG_TO_PLC_interrogazioneRotoloAspoLinea;UInt;410;
PLC_MSG_TO_MES_statoRotoloAspoLinea;UInt;411;
MES_MSG_TO_PLC_interrogazioneRotoloAspoCarico;UInt;412;
PLC_MSG_TO_MES_statoRotoloAspoCarico;UInt;413;
MES_MSG_TO_PLC_interrogazioneRotoloGiunzione;UInt;420;
PLC_MSG_TO_MES_statoRotoloGiunzione;UInt;421;
MES_MSG_TO_PLC_interrogazioneRotoloTaglioFinale;UInt;422;
PLC_MSG_TO_MES_statoRotoloTaglioFinale;UInt;423;
PLC_MSG_TO_MES_invioDatiScarto;UInt;431;
