Name;DataType;LogicalAddress;Comment
SOR_NON_INIZIATO;Int;0;
SOR_INZIATO;Int;1;
SOR_IN_LAVORO;Int;2;
SOR_CONCLUSO_PARZIALE;Int;3;
SOR_CONCLUSO_COMPLETO;Int;4;
SOR_CONCLUSO_INCOMPLETO;Int;5;
SOR_PAUSA_PARZIALE;Int;6;
SOR_PAUSA_TOTALE;Int;7;
IC_NonAttivo;Int;0;
IC_StopCicloOperatore;Int;1;
IC_PresenzaAllarme;Int;2;
IC_WariningMancanzaCondizioni;Int;3;
IC_SospensioneFineTurno;Int;10;
IC_SospensioneControlloQualita;Int;11;
IC_SospensioneCausaSconoscita;Int;99;
SR_VUOTO;Int;0;
SR_DATO_PRESENTE;Int;1;
SR_FINE_LAMIERA;Int;2;
SR_INTERRUZIONE;Int;3;
ENABLE_MSG131_COUNTER_UPDATE;Bool;FALSE;
