Name;DataType;LogicalAddress;Comment
PTRK_A0202_ENTRY;Int;2;SemiGuscio su rulliera di accelerazione ma non uscito dai rulli magnetici
PTRK_A0202_P6;Int;3;SemiGuscio su rulliera di accelerazione oltre i rulli magnetici posizione 6
PTRK_A0202_P5;Int;4;SemiGuscio su rulliera di accelerazione oltre i rulli magnetici posizione 5
PTRK_A0202_P4;Int;5;SemiGuscio su rulliera di accelerazione oltre i rulli magnetici posizione 4
PTRK_A0202_P3;Int;6;SemiGuscio su rulliera di accelerazione oltre i rulli magnetici posizione 3
PTRK_A0202_P2;Int;7;SemiGuscio su rulliera di accelerazione oltre i rulli magnetici posizione 2
PTRK_A0202_P1;Int;8;SemiGuscio su rulliera di accelerazione oltre i rulli magnetici posizione 1
PTRK_A0202_P0;Int;9;SemiGuscio in battuta a fine della rulliera di accelerazione
PTRK_A0202_DEVIATOR_To_A0301;Int;10;SemiGuscio in deviazione verso area 03 stazione 1
PTRK_A0202_DEVITATOR_To_EXIT;Int;11;SemiGuscio in deviazione verso uscita area 02 per controllo
PTRK_A0202_CUTTED;Int;1;SemiGuscio su rulliera di accelerazione ma non uscito dai rulli magnetici
