Name;DataType;LogicalAddress;Comment
A01_PEm_Front;Bool;%I1006.1;100DI1 - 142SB1,2,3,4,5,6 Emergency push buttons
A01_PEm_Rear;Bool;%I1006.2;100DI2 - 144SB1,2,3 Emergency push buttons
A02_PEm_Front;Bool;%I1006.3;100DI3 - 146SB1,2,3,4 Emergency push buttons
A02_PEm_Rear;Bool;%I1013.0;101DI0 - 148SB1,2 Emergency push buttons
A03_PEm_Front_1;Bool;%I1200.0;200DI0 - 150SB1,2 Emergency push buttons
A03_PEm_Rear_1;Bool;%I1300.0;250DI0 - 154SB1,2 Emergency push buttons
A01_Pb_SafetyReset;Bool;%I102.0;158SH1 - MB1 safety reset button
A01_Lp_SafetyReset;Bool;%Q106.0;158SH1 - MB1 safety reset button lamp
A02_Pb_SafetyReset;Bool;%I102.1;158SH1 - MB1 safety reset button
A02_Lp_SafetyReset;Bool;%Q106.1;158SH1 - MB1 safety reset button
A03_Pb_SafetyReset;Bool;%I102.2;159SH1 - MB1 safety reset button
A03_Lp_SafetyReset;Bool;%Q106.2;159SH1 - MB1 safety reset button lamp
A01_Sel_SetUp;Bool;%I1013.1;101DI1 - 158SA1 Area 01 SetUp selector
A02_Sel_SetUp;Bool;%I1013.2;101DI2 - 158SA2 Area 02 SetUp selector
A03_Sel_SetUp;Bool;%I1013.3;101DI3 - 159SA1 Area 03 SetUp selector
A03_PEm_Front_2;Bool;%I1400.0;300DI0 - 151SB1,2 Emergency push buttons
A03_PEm_Rear_2;Bool;%I1400.1;300DI1 - 155SB1 Emergency push buttons
GEN_PEm;Bool;%I1006.0;100DI0 - 140SB1,2,3,4,5 Emergency push buttons
A03_PEm_Front_3;Bool;%I1500.0;350DI0 - 152SB1,2 Emergency push buttons
A03_PEm_Rear_3;Bool;%I1500.1;350DI1 - 156SB1 Emergency push buttons
495A2_NotUsed;Bool;%I1207.0;
515A2_NotUsed;Bool;%I1307.0;
