Name;DataType;LogicalAddress;Comment
CC1_HighTemperature;Bool;%I0.6;110S2 - Temperatura  >  45°C
CC1_ThermalTrip24Vdc_PLC_SINAMICS;Bool;%I1.7;133QF1 - 24Vdc thermal trip PLC & SINAMICS
CC1_ThermalTrip24Vdc_Valves;Bool;%I100.4;135QF1 - 24Vdc thermal trip valves
ThermalProtection_220V_Socket;Bool;%I0.3;105QF1 - Thermal trip circuit 220v for service sockets
CC1_Apertura_Porte;Bool;%I0.0;102KA2
PAC_Multifunzione_1;Bool;%Q0.0;103KA1 - NON USATO
PAC_Multifunzione_2;Bool;%Q0.1;103KA2 - NON USATO
PAC_7KM_1;Bool;%I0.1;103KA1 NON USATO
PAC_7KM_2;Bool;%I0.2;103KA2 NON USATO
CC1_Guasto_Condizionatore_1;Bool;%I0.4;110 -- 1= OK 0= FAULT
CC1_Controllo_Temperatura_Quadro;Bool;%I0.5;110S1 - Temperatura  >  30°C
CC1_Controllo_Circuito_Raffredamento_Quadro_1;Bool;%I0.7;110QF1
CC1_ON_Condizionatori;Bool;%Q0.2;110KM1
CC1_Guasto_Condizionatore_2;Bool;%I1.0;112 -- 1= OK 0= FAULT
CC1_Controllo_Circuito_Raffredamento_Quadro_2;Bool;%I1.1;112QF1
JB001_ON_Condizionatore;Bool;%Q100.0;109KA2
JB001_Controllo_Temperatura_Quadro;Bool;%I100.1;114S1 - Temperatura > 30°C
JB001_Max_Temperatura_Quadro;Bool;%I100.2;114S2 - Temperatura  >  45°C
JB001_Controllo_Circuito_Raffredamento_Quadro;Bool;%I100.3;114QF1
24V_Batteria_Scarica;Bool;%I1.2;121 - SITOP UPS500S
24V_Allarme_Batteria;Bool;%I1.3;121 - SITOP UPS500S
24V_Batteria_OK;Bool;%I1.4;121 - SITOP UPS500S
CC1_Ai_GeneralPressure_Air;Int;%IW904;464A1 - 774B3
24V_Fdbk_Protezione_Elettronica;Bool;%I1.5;126 - SITOP SEL1400
24V_Controllo_Magnetotermico_Sinamics;Bool;%I1.6;132QF1
CC1_Pressione_Aria_Generale_OK;Bool;%I102.5;174S1
Area01_Aspo_Pressione_Aria_OK;Bool;%I102.6;176S1
24V_Reset_Protezione_Elettronica;Bool;%Q0.3;126 - SITOP SEL1400
Scalance_XC216_Switch_ON;Bool;%I2.5;392A1
Scalance_XC116_1_Switch_ON;Bool;%I2.6;394A1
Scalance_XC116_2_Switch_ON;Bool;%I2.7;396A1
Scalance_SC632-2C_Switch_ON;Bool;%I3.0;398A1
CU320_Trigger_Lettura_Correzione_Encoder;Bool;%Q0.4;588 - CU320
CU320_Trigger_Lettrua_Taglio;Bool;%Q0.5;588 - CU320
Area02_03_Accoppiamento_Pressione_Aria_OK;Bool;%I205.1;180S1
Area03_Pareggiamneto_Pressione_Aria_OK;Bool;%I300.2;182S1
Area04_Navetta_Pressione_Aria_OK;Bool;%I310.0;183S1
