Name;DataType;LogicalAddress;Comment
LB113_JB_Cut_Lp_Cycle;Bool;%Q116.5;326SH2
LB113_JB_Cut_Pb_Cycle;Bool;%I119.1;326SH2
LB113_JB_EntryClamp_Sel_Close;Bool;%I120.6;327SA2
LB113_JB_EntryClamp_Sel_Open;Bool;%I120.5;327SA1
LB113_JB_ExitClamp_Sel_Close;Bool;%I119.7;326SA2
LB113_JB_ExitClamp_Sel_Open;Bool;%I119.6;326SA2
LB113_JB_Lp_AtRest;Bool;%Q117.5;328HL1
LB113_JB_Pichroll_Pb_Bwd;Bool;%I119.5;326SH4
LB113_JB_Pichroll_Pb_Fwd;Bool;%I119.4;326SH3
LB113_JB_Pinchroll_Lp_Bwd;Bool;%Q116.7;326SH4
LB113_JB_Pinchroll_Lp_Fwd;Bool;%Q116.6;326SH3
LB113_JB_Torch_Lp_Bwd;Bool;%Q117.4;327SH5
LB113_JB_Torch_Lp_Fwd;Bool;%Q117.3;327SH4
LB113_JB_Torch_Pb_Bwd;Bool;%I120.4;327SH5
LB113_JB_Torch_Pb_Fwd;Bool;%I120.3;327SH4
LB113_JB_Weld_Lp_Cycle;Bool;%Q117.0;327SH2
LB113_JB_Weld_Lp_Man;Bool;%Q117.1;327SH1
LB113_JB_Weld_Pb_Cycle;Bool;%I120.0;327SH1
LB113_JB_Weld_Pb_Man;Bool;%I120.1;327SH2
LB113_Lp_ExtraLow;Bool;%Q117.2;327SH3
LB113_Lp_Provino;Bool;%Q116.4;326SH1
LB113_Pb_ExtraLow;Bool;%I120.2;327SH3
LB113_Pb_Provino;Bool;%I119.0;326SH1
LB113_PinchRoll_Sel_Close;Bool;%I119.3;326SA2
LB113_PinchRoll_Sel_Open;Bool;%I119.2;326SA1
LB113_Straightener_Lp_Bwd;Bool;%Q117.7;328HL3
LB113_Straightener_Lp_Fwd;Bool;%Q117.6;328HL2
LB113_Straightener_Pb_Bwd;Bool;%I121.0;328SH2
LB113_Straightener_Pb_Fwd;Bool;%I120.7;328SH1
LB113_Button_L;Bool;%I1034.2;104DI2 - 201SB1
LB113_DeadMan_Ch1;Bool;%I1034.3;104DI3 - 201SB3
LB113_DeadMan_Ch2;Bool;%I1034.7;104DI7 - 201SB3
LB113_Button_R;Bool;%I1034.6;104DI6 - 201SB2
