Name;DataType;LogicalAddress;Comment
A01_TowerHorn_SL101;Bool;%Q121.7;370HA1
A01_TowerLampYellow_SL101;Bool;%Q121.5;370HL1
A01_TowerLampWhite_SL101;Bool;%Q121.6;370HL2
MB1_Pb_ResetAlarms;Bool;%I109.0;300SH1
MB1_Loop1_Pb;Bool;%I109.1;300SH2
MB1_Area01_SelMan;Bool;%I109.2;300SA1
MB1_Area01_SelAut;Bool;%I109.3;300SA1
MB1_Area01_PbCycleStart;Bool;%I109.4;300SH3
MB1_Area01_PbCycleStop;Bool;%I109.5;300SB1
MB1_PbJogPlus;Bool;%I109.6;301SA1
MB1_PbJogMInus;Bool;%I109.7;301SA1
MB1_Sel_Material_FWD;Bool;%I110.0;301SA2
MB1_Sel_Material_BWD;Bool;%I110.1;301SA2
MB1_Area01_LpPbReset;Bool;%Q109.7;300SH1
MB1_Lp_Loop1;Bool;%Q110.0;300SH2
MB1_Area01_LpCycleReady;Bool;%Q110.1;300HL1
MB1_Area01_LpCycleStart;Bool;%Q110.2;300SH3
MB1_LpJog;Bool;%Q110.3;301SA1
MB1_Pb_LIBERO;Bool;%I110.4;302 - LIBERO
MB1_Lp_LIBERO;Bool;%Q110.5;302 - LIBERO
DecoilersHRot_TowerLamp_SL101-SL102;Bool;%Q122.0;370HL3
