Name;DataType;LogicalAddress;Comment
Coilcar_Lift1_Ls_Down;Bool;%I128.5;796SQ1
Coilcar_Lift1_Ls_Up;Bool;%I128.6;796SQ2
Coilcar_Lift1_V_Down;Bool;%Q102.7;796YV1
Coilcar_Lift1_V_Up;Bool;%Q103.0;796YV2
Coilcar_Lift2_Ls_Down;Bool;%I128.7;797SQ1
Coilcar_Lift2_Ls_Up;Bool;%I129.0;797SQ2
Coilcar_Lift2_V_Down;Bool;%Q103.1;797YV1
Coilcar_Lift2_V_Up;Bool;%Q103.2;797YV2
Culla_Controllo_Perni_Inseriti_Phc_1;Bool;%I127.4;788BF1
Culla_Controllo_Perni_Inseriti_Phc_2;Bool;%I127.5;788BF2
Culla_Controllo_Perni_Inseriti_Phc_3;Bool;%I127.6;788BF3
Culla_Controllo_Perni_Inseriti_Phc_4;Bool;%I127.7;788BF4
Culla_Ls_Indietro_Minimo_Fuori_Linea;Bool;%I128.0;795SQ1
Culla_Ls_Avanti_Massimo_In_Linea;Bool;%I128.1;795SQ2
Culla_Ls_Rallentamento_Indietro;Bool;%I128.2;795SQ3
Culla_Ls_Rallentamento_Avanti;Bool;%I128.3;795SQ4
Culla_Ls_Coil_Inserito_Togliere_Perni;Bool;%I128.4;795SQ5
