Name;DataType;LogicalAddress;Comment
A0303_Spalla_Ax_Testa_Posizionamento_Ls_Minimo;Bool;%I355.7;2262SQ1
A0303_Spalla_Ax_Testa_Posizionamento_Ls_Massimo;Bool;%I356.0;2262SQ2
A0303_Spintore_Testa_Verticale_Ls_Rest;Bool;%I356.1;2270SQ1
A0303_Spintore_Testa_Verticale_Ls_Work;Bool;%I356.2;2270SQ2
A0303_Spintore_Testa_Orizzontale_Ls_Rest;Bool;%I356.3;2270SQ3
A0303_Spintore_Testa_Orizzontale_Ls_Work;Bool;%I356.4;2270SQ4
A0303_Spintore_Testa_Verticale_V_Rest;Bool;%Q362.2;2270YV1
A0303_Spintore_Testa_Verticale_V_Work;Bool;%Q362.3;2270YV2
A0303_Spintore_Testa_Orizzontale_V_Rest;Bool;%Q362.4;2270YV3
A0303_Spintore_Testa_Orizzontale_V_Work;Bool;%Q362.5;2270YV4
A0303_ControlloPezzo_Testa_Phc_InPosizione;Bool;%I356.5;2271BF1
A0303_ControlloPezzo_Testa_Phc_MassimaPosizione;Bool;%I356.6;2271BF2
A0303_SostegnoStrato_Testa_Verticale_Ls_Alto;Bool;%I356.7;2274SQ1
A0303_SostegnoStrato_Testa_Verticale_Ls_Basso;Bool;%I357.0;2274SQ2
A0303_SostegnoStrato_Testa_Verticale_V_Alto;Bool;%Q362.6;2274YV1
A0303_SostegnoStrato_Testa_Verticale_V_Basso;Bool;%Q362.7;2274YV2
A0303_Spalla_Ax_Coda_Posizionamento_Ls_Minimo;Bool;%I305.7;2282SQ1
A0303_Spalla_Ax_Coda_Posizionamento_Ls_Massimo;Bool;%I306.0;2282SQ2
A0303_Spintore_Coda_Verticale_Ls_Rest;Bool;%I306.1;2300SQ1
A0303_Spintore_Coda_Verticale_Ls_Work;Bool;%I306.2;2300SQ2
A0303_Spintore_Coda_Orizzontale_Ls_Rest;Bool;%I306.3;2300SQ3
A0303_Spintore_Coda_Orizzontale_Ls_Work;Bool;%I306.4;2300SQ4
