Name;DataType;LogicalAddress;Comment
BTRK_A0302_RULL_PRIMA_PAREG_CODA_BASSO;Int;1;Pezzo su rulliera (1) +  pareggiatore coda basso quindi quando incontra sensore (1,2) deve rallentare 
BTRK_A0302_RULL_PRIMA_PAREG_CODA_BASSO_RALL;Int;2;Pezzo su rulliera (1) + pareggiatore coda basso e ha incontrato sensore (1,2) di rallentamento 
BTRK_A0302_RULL_PRIMA_PAREG_CODA_BASSO_STOP;Int;3;Pezzo su rulliera (1) + pareggiatore coda basso e ha incontrato sensore (3) di  stop
BTRK_A0302_RULL_PRIMA_PAREG_CODA_ALTO;Int;4;Pezzo su rulliera (1) + pareggiatore coda alto quindi può muoversi liberamente
BTRK_A0302_RULL_SOTTO_PAREG_CODA_ALTO_S3;Int;5;Pezzo su rulliera (1) + pareggiatore coda alto ed ha incontrato il sensore 3 (in ingresso al pareg.)
BTRK_A0302_RULL_SOTTO_PAREG_CODA_ALTO_S4;Int;6;Pezzo su rulliera (1) + pareggiatore coda alto ed ha incontrato il sensore 4 (in uscita al pareg.)
BTRK_A0302_RULL_DOPO_PAREG_CODA_ALTO;Int;7;Pezzo su rulliera (1/2) + pareggiatore coda che è alto ed ha liberato il sensore 4-> Pareg. può andare basso (posizione di lavoro)
BTRK_A0302_RULL_SU_PAREG_TESTA;Int;8;Pezzo su rulliera (1/2) + ha liberato il sensore 5 su pareggiatore di testa
BTRK_A0302_RULL_TRA_PAREG_TESTA_E_PAREG_CODA;Int;9;Pezzo su rulliera (1/2) tra il pareggiatore di testa e quello di coda
BTRK_A0302_RULL_CENTRATO;Int;10;Pezzo su rulliera (1/2) tra i pareggiatori  + centratori  a lavoro
BTRK_A0302_RULL_CENTRATO_PAREG_CODA_BASSO;Int;11;Pezzo su rulliera (1/2) tra i pareggiatori (quello di coda è basso)  + centratori  a lavoro
BTRK_A0302_RULL_PAREGGIATO;Int;12;Pezzo su rulliera (1/2) tra i pareggiatori e paregiatura di coda eseguito lavoro cilindro idraulico (ora si sa la misura del pezzo, si può mettere utenze in attesa del prossimo pezzo)
BTRK_A0302_MANIP_PRESA_BASSO;Int;13;Pezzo su magneti del manipolatore basso in posizione di presa.
BTRK_A0302_MANIP_PRESA_ALTO;Int;14;Pezzo su magneti del manipolatore alto in posizione di presa.
BTRK_A0302_MANIP_DEPOSITO_USCITA_ALTO;Int;15;Pezzo su magneti del manipolatore alto in posizione di uscita perchè non conforme
BTRK_A0302_MANIP_DEPOSITO_USCITA_BASSO;Int;16;Pezzo su magneti del manipolatore basso in posizione di uscita perchè non conforme
BTRK_A0302_MANIP_DEPOSITO_A0303_ALTO;Int;17;Pezzo su magneti del manipolatore alto in posizione per deposito su A0303
BTRK_A0302_MANIP_DEPOSITO_A0303_BASSO;Int;18;Pezzo su magneti del manipolatore basso in posizione per deposito su A0303
