Name;DataType;LogicalAddress;Comment
UNKNOW;Int;0;Risultato della qualità sconoscita / senza risultato / non ancora assegnato
GOOD;Int;1;Pezzo / parte = BUONO, Se  parte = controllo lunghezza al taglio OK , Se pezzo = controllo lunghezza accoppiamemto OK, era TO_CHECK_MES
TO_CHECK;Int;2;Pezzo / parte = DA CONTROLLARE 
PART_BAD_WELD;Int;3;Parte = DIFETTOSO = saldatura presente
PART_BAD_EXCEED_TOL;Int;4;Parte = DIFETTOSO = Troppo fuoti tolleranza
PART_BAD_TEST;Int;5;Parte = DIFETTOSO = Eseguito per test = Senza P_ID
PART_BAD_END_OF_COIL;Int;6;Parte = DIFETTOSO = Coda di fine nastro
BEAM_BAD_TEST;Int;7;Pezzo = DIFETTOSO = Eseguito per test = Senza B_ID
TO_CHECK_LEN;Int;11;Pezzo / parte = DEVE ESSERE CONTROLLATO = lunghezza è fuori tolleranza in autodiagnosci macchina
RECOND_GOOD;Int;12;Pezzo / parte = BUONO RICONDIZIONATO = era TO_CHEK_LEN
GOOD_R;Int;13;Pezzo / parte = BUONO RICONDIZIONATO + Registrato su Log + MES
RECOND_NG;Int;14;Pezzo / parte = SCARTO RICONDIZIONATO = era TO_CHECK_LEN  e dopo ispezione operatore è dichirato NON lavorabile
NG_R;Int;15;Pezzo / parte = SCARTO = era NOT GOOD RECONDITIONED  ed ora è stato eseguito Log / Send Msg MES 
BEAM_GOOD_N;Int;31;Pezzo GOOD eseguito -> Diventa GOOD dopo che Production ha aggiornato i contattori
BEAM_TO_CHECK_N;Int;41;Pezzo TO CHECK eseguito -> Diventa TO_CHECK dopo che Production ha aggiornato i contattori
GOOD_R_DEL;Int;998;Pezzo / Parte = Deve essere cancellato dal TRK e prima della cancellazione era GOOD_R
GOOD_DEL;Int;999;Pezzo / Parte = Deve essere cancellato dal TRK e prima della cancellazione era GOOD
