Name;DataType;LogicalAddress;Comment
TOKENCHAIN_MAX;Int;8;
TOKENCHAIN_CU1;Int;1;
TOKENCHAIN_CU2;Int;2;
TOKENCHAIN_CU3;Int;3;
TOKENCHAIN_CU4;Int;4;
TOKENCHAIN_CU5;Int;5;
TOKENCHAIN_CU6;Int;6;
TOKENCHAIN_CU7;Int;7;
TOKENCHAIN_CU8;Int;8;
CU1_ID_1_580A1;USInt;1;CU1
CU8_ID_8_640A1;USInt;8;Alimentatore
CU1_ID_3_740A1_1_740M1;USInt;3;Drive Aspo 1
CU1_ID_4_740A1_2_750M1;USInt;4;Drive Aspo 2
CU1_ID_5_690A1_1_690M1;USInt;5;Drive Traslazione aspi
CU1_ID_6_690A1_2_790M1;USInt;6;Drive Culla di carico
CU1_ID_7_890A1_1_890M1;USInt;7;Drive Torcia banco di giunzione
CU1_ID_8_890A1_2_900M1;USInt;8;Drive Pinch Roll banco di giunzione
CU2_ID_1_585A1;USInt;1;CU2
CU2_ID_2_1190A1_1190M1;USInt;2;Drive Profilatrice
CU2_ID_3_1300A1_1300M1;USInt;3;Drive Carro taglio al volo
CU2_ID_4_830A1_830M1;USInt;4;Drive Raddrizzatrice
CU3_ID_1_590A1;USInt;1;CU3
CU3_ID_2_1410A1_1_1410M1;USInt;2;Drive Rulliera di accelerazione Motore 1
CU3_ID_3_1410A1_2_1420M1;USInt;3;Drive Rulliera di accelerazione Motore 2
CU3_ID_4_1430A1_1_1430M1;USInt;4;Drive Rulliera di accelerazione Motore 3
CU3_ID_5_1430A1_2_Free;USInt;5;Drive Free
CU3_ID_6_1260A1_1_1260M1;USInt;6;Drive Riposzionatore carrello controllo FAK
CU3_ID_7_1260A1_2_Free;USInt;7;Drive Free
CU4_ID_1_595A1;USInt;1;CU4
CU4_ID_2_980A1_1_980M1;USInt;2;Drive Spalla Profilatrice Cassetta 1 lato operatore
CU4_ID_3_980A1_2_990M1;USInt;3;Drive Spalla Profilatrice Cassetta 1 lato motore
CU4_ID_4_1030A1_1_1030M1;USInt;4;Drive Spalla Profilatrice Cassetta 2 lato operatore
CU4_ID_5_1030A1_2_1040M1;USInt;5;Drive Spalla Profilatrice Cassetta 2 lato motore
CU4_ID_6_1070A1_1_1070M1;USInt;6;Drive Spalla Profilatrice Cassetta 3 lato operatore
CU4_ID_7_1070A1_2_1120M1;USInt;7;Drive Spalla Profilatrice Cassetta 3 lato motore
CU5_ID_1_600A1;USInt;1;CU5
CU5_ID_2_1950A1_1950M1;USInt;2;Drive Bordatrice
CU5_ID_3_1480A1_1_1480M1;USInt;3;Drive Trasporto Area 03 Stazione 1
CU5_ID_4_1480A1_2_Free;USInt;4;Drive Libero
CU5_ID_5_1560A1_1_1560M1;USInt;5;Drive Ribaltatore
CU5_ID_6_1560A1_2_1600M1;USInt;6;Drive Spintore logitudinale (ingresso bordatrice)
CU6_ID_1_605A1;USInt;1;CU6
CU6_ID_2_1990A1_1_1990M1;USInt;2;Drive Rulliera pareggiatore 1
CU6_ID_3_1990A1_2_2000M1;USInt;3;Drive Rulliera pareggiatore 2
CU6_ID_4_2100A1_1_2100M1;USInt;4;Drive Carrello pareggiatore testa
CU6_ID_5_2100A1_2_2180M1;USInt;5;Drive Carrello pareggiatore coda
CU6_ID_6_1840A1_1_1840M1;USInt;6;Drive Spalla Bordatrice
CU6_ID_7_Free;USInt;7;Drive Libero
CU7_ID_1_610A1;USInt;1;CU7
CU7_ID_2_2310A1_1_2310M1;USInt;2;Drive Traslazione strato testa
CU7_ID_3_2310A1_2_2330M1;USInt;3;Drive Traslazione strato coda
CU7_ID_4_2260A1_1_2260M1;USInt;4;Drive Spalla preparazione strato testa
CU7_ID_5_2260A1_2_2280M1;USInt;5;Drive Spalla preparazione strato coda
CU7_ID_6_2140A1_1_2140M1;USInt;6;Drive Manipolatore magnetico testa
CU7_ID_7_2140A1_2_2220M1;USInt;7;Drive Manipolatore magnetico coda
CU8_ID_1_615A1;USInt;1;CU8
CU8_ID_2_2390A1_1_2390M1;USInt;2;Drive Sollevamento pacco testa
CU8_ID_3_2390A1_2_2400M1;USInt;3;Drive Sollevamento pacco coda
CU8_ID_4_2430A1_1_2430M1;USInt;4;Drive Navetta testa
CU8_ID_5_2430A1_2_2460M1;USInt;5;Drive Navetta coda
CU8_ID_6_2350A1_1_2350M1;USInt;6;Drive Sostegno Antiribaltamento testa
CU8_ID_7_2350A1_2_2370M1;USInt;7;Drive Sostegno Antiribaltamento coda
