Name;DataType;LogicalAddress;Comment
PROD_ERR_Type_UNKNOW;DInt;-101;Prod_Item.Type - Valore errato
PROD_ERR_O_ID_empty;DInt;-102;Prod.item.O_ID - Vuoto
PROD_ERR_MES_IDP_Empty;DInt;-103;Prod_item.MES_IDP - Vuoto e ordine caricato dal MES (Prod_Item.Type = 1)
PROD_ERR_MES_IDP_NOT_Empty;DInt;-104;Prod_item.MES_IDP  - NON Vuoto e ordine caricato dal HMI (Prod_Item.Type = 2)
PROD_ERR_PPrfNo_Empty;DInt;-105;Prod_item.PPrfNo <= 0 - il numero del programma profilo è <= 0
PROD_ERR_PPrfNo_NotExist;DInt;-106;Prod_item.PPrfNo > 0 ma il numero del programma profilo NON esiste nella lista PIVOT dei programmi ("PPrf_MAIN".PIVOT)
PROD_ERR_PPrf_Name_Mismatch;DInt;-107;
PROD_ERR_Beam_W_A_Min;DInt;-108;
PROD_ERR_Beam_W_A_Max;DInt;-109;
PROD_ERR_Beam_H_B_Min;DInt;-110;
PROD_ERR_Beam_H_B_Max;DInt;-111;
PROD_ERR_Beam_Tickness_Min;DInt;-112;
PROD_ERR_Beam_Tickness_Max;DInt;-113;
PROD_ERR_Beams_REQ_empty;DInt;-114;
PROD_ERR_Parts_REQ_empty;DInt;-115;
PROD_ERR_Len_min;DInt;-116;
PROD_ERR_Len_max;DInt;-117;
PROD_ERR_No_Parts_ToGo;DInt;-118;
PROD_ERR_PPrf_MISMATCH_PPrf_LINE_SETUP;DInt;-201;
PROD_ERR_PPrf_MIISMATCH_PPrf_ON_WORK;DInt;-202;
PROD_ERR_O_ACT_FULL;DInt;-301;
PROD_ERR_O_TODO_INDEX_EXCEEDS_BOUNDS;DInt;-302;L'indice di selezione ordine su O_TODO è fuori dai limit 1..."PROD_TODO_ITEMS"
PROD_ERR_O_ENDING_INDEX_EXCEEDS_BOUNDS;DInt;-402;
PROD_FUN_RESULT_OK;DInt;0;
PROD_FUN_RESULT_BUFFER_EMPTY;DInt;1;
PROD_FUN_RESULT_CLEAR_GAP_DONE;DInt;0;
PROD_FUN_RESULT_NO_GAP;DInt;2;
PROD_ERR_PPrf_Get_Error;DInt;-130;
PROD_ERR_PPrf_Get_Timeout;DInt;-131;
PROD_ERR_PPRF_MISMATCH_BEAM_TYPE;DInt;-132;
PROD_ERR_PPRF_MISMATCH_BEAM_W_A;DInt;-133;
PROD_ERR_PPRF_MISMATCH_BEAM_H_B;DInt;-134;
PROD_ERR_PPRF_MISMATCH_BEAM_TICKNESS;DInt;-135;
PROD_ERR_BUFFER_MSGs_SHIFT;DInt;-1004;
PROD_ERR_ORDER_NOT_FOUND;DInt;-1011;
PROD_ORDER_IS_AT_O_ACT;DInt;0;L'ordine si trova su "Production".O_ACT = In lavoro con taglio Part in corso
PROD_ORDER_IS_AT_O_TODO;DInt;1;L'ordine si trova su "Production".O_TODO =Nella coda degli ordini da produrre
PROD_ORDER_IS_AT_O_ENDING;DInt;2;L'ordine si trova su "Production".O_ENDING = In lavoro con taglio Part concluso ma BEAM non conclusi
PROD_ORDER_IS_AT_O_OUT;DInt;3;L'ordine si trova su "Production".O_OUT= Fuori dal processo = Ordine concluso
PROD_ERR_BUFFER_MSGs_FULL;DInt;-1005;
PROD_ERR_BUFFER_MSGs_INDEX_EXCEEDS_BOUNDS;DInt;-1002;
PROD_ERR_O_ID_AND_MES_IDP_NOT_VALID;DInt;-1010;La funzione "Prod_Item_GetData" non è om grado di cercare l'rdine perchè sia O_ID che MES_IDP sono non valorizzate 
PROD_ERR_BUFFER_MSGs_UNKNOW_TOPIC;DInt;-1000;
PROD_ERR_CALC_PACK_DIM_X;DInt;-120;Errore larghezza pacco va fuori misura
