BATCH CONVERSION REPORT
Generated:,2025-12-29 15:43:59
Source:,C:\Projects\FRAMEWORK_PARSER\PLC_410D1
Output:,C:\Projects\FRAMEWORK_PARSER\PLC_410D1_Parsed

=== SUMMARY ===
Total Files Discovered:,1209
Files Processed:,1077
Successful Conversions:,1070
Failed Conversions:,0
Validation Errors (??? found):,7
Skipped (Non-XML/Unsupported):,132
Overall Success Rate:,99.4%
Total Processing Time:,10.2s
Average Time per File:,0.00s

=== FILE TYPE DISTRIBUTION ===
File Type,Total,Success,Failed,Validation Errors,Skipped,Success Rate
FB,154,152,0,2,0,98.7%
FC,147,145,0,2,0,98.6%
DB,128,128,0,0,0,100.0%
UDT,307,307,0,0,0,100.0%
TAGS,102,102,0,0,0,100.0%

=== PERFORMANCE METRICS ===
Metric,Value
Total Processing Time:,10.2s
Average Time:,0.00s
Median Time:,0.00s
Min Time:,0.00s
Max Time:,0.11s
Slowest File:,Software units\33_Area03\Program blocks\01_AREA\Area03_CALL.xml (0.11s)

=== FILE SIZE ANALYSIS ===
Metric,Value
Total Input Size:,48.0 MB
Total Output Size:,4.8 MB
Size Change:,-89.9%
Average Input:,66.7 KB
Average Output:,4.6 KB

=== DIRECTORY BREAKDOWN ===
Directory,Total,Success,Failed,Validation Errors,Skipped,Success Rate
PLC tags,1,1,0,0,0,100.0%
Program blocks,4,4,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\001_StdBlocks\001_Area,4,4,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\001_StdBlocks\002_Device,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\001_StdBlocks\002_Device\Infeed,2,2,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\001_StdBlocks\002_Device\Motor,3,3,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\001_StdBlocks\002_Device\OnOffAxis,6,6,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\001_StdBlocks\002_Device\OnOffAxis\PosFbk,4,4,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\001_StdBlocks\002_Device\SinamicsCU,5,5,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\001_StdBlocks\002_Device\SinamicsSpeedMotor,3,3,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\001_StdBlocks\002_Device\TAxis,7,7,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\001_StdBlocks\002_Device\TAxis\FlyigShearAxis,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\001_StdBlocks\002_Device\TAxis\FollowingAxis,2,2,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\001_StdBlocks\002_Device\TAxis\PositioningAxis,3,3,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\001_StdBlocks\002_Device\TAxis\SpeedAxis,6,6,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\001_StdBlocks\002_Device\TExternalEncoder,5,5,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\001_StdBlocks\002_Device\TMeasuringInput,5,5,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\001_StdBlocks\002_Device\Valve,4,4,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\001_StdBlocks\003_Drives\TokenChain,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\001_StdBlocks\007_Time,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\001_StdBlocks\010_Machine\HydraulicUnit,6,6,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\001_StdBlocks\010_Machine\Lubrication,12,12,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\001_StdBlocks\050_Safety,2,2,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\001_StdBlocks\050_Safety\FUN,5,5,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\001_StdBlocks\050_Safety\SafetyInterface,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\001_StdBlocks\100_Gen\110_HMI,3,3,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\001_StdBlocks\200_Programs\ProgramsManager,5,5,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\001_StdBlocks\300_Tracking,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\001_StdBlocks\300_Tracking\TrkManager,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\002_PrjBlocks\03_Machine,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\002_PrjBlocks\03_Machine\01_VALVE_MACHINE,8,8,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\002_PrjBlocks\03_Machine\02_FEED_MACHINE,10,10,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\002_PrjBlocks\03_Machine\03_POSITIONING_MACHINE,11,11,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\002_PrjBlocks\03_Machine\04_SPEED_MACHINE,9,9,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\002_PrjBlocks\03_Machine\05_POSITIONING_MOTOR_OPEN_LOOP_MACHINE,10,10,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\002_PrjBlocks\03_Machine\05_POSITIONING_MOTOR_OPEN_LOOP_MACHINE\MOTOR,3,3,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\002_PrjBlocks\03_Machine\05_POSITIONING_MOTOR_OPEN_LOOP_MACHINE\SET-UP,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\002_PrjBlocks\03_Machine\06_POSITIONING_DRIVE_OPEN_LOOP_MACHINE,10,10,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\002_PrjBlocks\03_Machine\07_POSITIONING_DRIVE_EPOS_MACHINE,10,10,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\002_PrjBlocks\03_Machine\10_Material Counters\Material Counter,8,8,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\002_PrjBlocks\11_LoopControl,3,3,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\200_Programs\PPfr - Profile Program,3,3,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\200_Programs\PPfr - Profile Program\PPrf_01_SetUp,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\200_Programs\PPfr - Profile Program\PPrf_01_SetUp\Items,2,2,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\200_Programs\PPfr - Profile Program\PPrf_10_CoilHandling,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\200_Programs\PPfr - Profile Program\PPrf_10_CoilHandling\Items,2,2,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\200_Programs\PPfr - Profile Program\PPrf_21_A01_S1_PartsCutting,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\200_Programs\PPfr - Profile Program\PPrf_21_A01_S1_PartsCutting\Items,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\200_Programs\PPfr - Profile Program\PPrf_31_A0301_A0302,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\200_Programs\PPfr - Profile Program\PPrf_31_A0301_A0302\Items,3,3,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\200_Programs\PPfr - Profile Program\PPrf_32_A0303_A0304,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\200_Programs\PPfr - Profile Program\PPrf_32_A0303_A0304\Items,2,2,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\200_Programs\PPrg - NON USATO,1,1,0,0,0,100.0%
