Name;DataType;LogicalAddress;Comment
LB131_Decoiler_Lp_Bwd;Bool;%Q118.5;332SH2
LB131_Decoiler_Lp_Fwd;Bool;%Q118.4;332SH1
LB131_Decoiler_Pb_Bwd;Bool;%I121.6;332SH2
LB131_Decoiler_Pb_Fwd;Bool;%I121.5;332SH1
LB131_Peeler_Lp_Bwd;Bool;%Q119.3;333SH2
LB131_Peeler_Lp_Down;Bool;%Q119.5;333SH4
LB131_Peeler_Lp_Fwd;Bool;%Q119.2;333SH1
LB131_Peeler_Lp_Up;Bool;%Q119.4;333SH3
LB131_Peeler_Pb_Bwd;Bool;%I122.4;333SH2
LB131_Peeler_Pb_Down;Bool;%I122.6;333SH4
LB131_Peeler_Pb_Fwd;Bool;%I122.3;333SH1
LB131_Peeler_Pb_Up;Bool;%I122.5;333SH3
LB131_Snubber_Lp_Bwd;Bool;%Q119.1;332SH6
LB131_Snubber_Lp_Down;Bool;%Q118.7;332SH4
LB131_Snubber_Lp_Fwd;Bool;%Q119.0;332SH5
LB131_Snubber_Lp_Up;Bool;%Q118.6;332SH3
LB131_Snubber_Pb_Bwd;Bool;%I122.2;332SH6
LB131_Snubber_Pb_Down;Bool;%I122.0;332SH4
LB131_Snubber_Pb_Fwd;Bool;%I122.1;332SH5
LB131_Snubber_Pb_Up;Bool;%I121.7;332SH3
LB131_Straighetner_Lp_Bwd;Bool;%Q119.7;333SH6
LB131_Straighetner_Lp_Fwd;Bool;%Q119.6;333SH5
LB131_Straightener_Lift_Pb_Close;Bool;%I123.0;333SA1
LB131_Straightener_Lift_Pb_Open;Bool;%I122.7;333SA1
LB131_Straightener_Pb_Bwd;Bool;%I123.2;333SH6
LB131_Straightener_Pb_Fwd;Bool;%I123.1;333SH5
LB131_Button_R;Bool;%I1034.4;104DI4 - 199SB2
LB131_Button_L;Bool;%I1034.0;104DI0 - 199SB1
