Name;DataType;LogicalAddress;Comment
DecoilerX_AI_Coil_Diameter;Int;%IW906;464A1 - 736BF1
Decoier1_Coupling_Ls_Rest;Bool;%I125.5;710SQ1
Decoier1_Coupling_Ls_Work;Bool;%I125.6;710SQ2
Decoiler1_Coupling_V_Rest;Bool;%Q100.6;710YV1
Decoiler1_Coupling_V_Work;Bool;%Q100.7;710YV2
Decoiler1_Jaws_V_Close;Bool;%Q101.1;711YV1
Decoiler1_Jaws_V_Open;Bool;%Q101.2;711YV2
Decoiler1_PneuBrake_1_V_Open;Bool;%Q130.0;745YV1
Decoiler1_PneuBrake_1_V_Partial;Bool;%Q130.1;745YV1
Decoiler1_M_Fan_C;Bool;%Q0.7;742QF1
Decoiler1_M_Fan_Fdbk;Bool;%I3.2;742KM1
Decoiler2_Coupling_Ls_Rest;Bool;%I126.0;715SQ1
Decoiler2_Coupling_Ls_Work;Bool;%I126.1;715SQ2
Decoiler2_Coupling_V_Rest;Bool;%Q101.7;715YV1
Decoiler2_Coupling_V_Work;Bool;%Q102.0;715YV2
Decoiler2_Jaws_V_Close;Bool;%Q102.1;716YV1
Decoiler2_Jaws_V_Open;Bool;%Q102.2;716YV2
Decoiler2_PneuBrake_1_V_Open;Bool;%Q130.4;755YV1
Decoiler2_PneuBrake_1_V_Partial;Bool;%Q130.5;755YV2
Decoiler2_M_Fan_C;Bool;%Q1.0;752QF1
Decoiler2_M_Fan_Fdbk;Bool;%I3.3;752KM1
Decoiler1_PneuBrake_2_V_Close;Bool;%Q130.2;745YV3
Decoiler1_PneuBrake_2_V_Partial;Bool;%Q130.3;745YV4
Decoiler2_PneuBrake_2_V_Close;Bool;%Q130.6;755YV3
Decoiler2_PneuBrake_2_V_Partial;Bool;%Q130.7;755YV4
DecoilerX_LIBERO;Bool;%I126.3;735 - LIBERO
DecoilerX_MaterialPresence;Bool;%I126.4;735BF1
DecoilerX_NOT_USED;Bool;%I126.5;735BF2
Decoiler2_PosizioneRazza;Bool;%I142.7;
