Name;DataType;LogicalAddress;Comment
HU_Area01_Pump_C;Bool;%Q1.1;770KA1
HU_Area01_Pump_Fdbk;Bool;%I3.4;770KM1
HU_Area01_S_LowLevel;Bool;%I127.0;773SL1
HU_Area01_S_LowLowLevel;Bool;%I127.1;773SL2
HU_Area01_S_ThermostatMax;Bool;%I127.2;773SL3
HU_Area01_S_ReturnFilterClogged;Bool;%I127.3;773SL4
HU_Area01_AI_Temperature;Int;%IW908;464A1 - 773B1
HU_Area01_AI_Pressure_CoilCar;Int;%IW910;464A1 - 774B1
HU_Area01_AI_Pressure_Peeler;Int;%IW912;464A1 - 774B2
HU_Area01_AI_Pressure_JB_Cut;Int;%IW914;464A1 - 774B3
HU_Area01_HeatExch_C;Bool;%Q1.2;775QF1
HU_Area01_HeatExch_Fdbk;Bool;%I3.5;775KM1
