Name;DataType;LogicalAddress;Comment
Decoiler1_Snubber_Lift_Ls_UP;Bool;%I125.7;712SQ1
Decoiler1_Snubber_Lift_V_DOWN;Bool;%Q101.4;712YV2
Decoiler1_Snubber_Lift_V_UP;Bool;%Q101.3;712YV1
Decoiler1_Snubber_Roll_V_BWD;Bool;%Q101.5;712YV3
Decoiler1_Snubber_Roll_V_FWD;Bool;%Q101.6;712YV4
Decoiler2_Snubber_Lift_Ls_UP;Bool;%I126.2;717SQ1
Decoiler2_Snubber_Lift_V_DOWN;Bool;%Q102.4;717YV2
Decoiler2_Snubber_Lift_V_UP;Bool;%Q102.3;717YV1
Decoiler2_Snubber_Roll_V_BWD;Bool;%Q102.5;717YV3
Decoiler2_Snubber_Roll_V_FWD;Bool;%Q102.6;717YV4
