Name;DataType;LogicalAddress;Comment
A02_Segnalazione_Scarico_Dopo_Taglio_Bu_SL202;Bool;%Q122.4;371HL3
A02_TowerHorn_SL201;Bool;%Q122.3;371HA1
A02_TowerLampYellow_SL201;Bool;%Q122.1;371HL1
A02_TowerLampWhite_SL201;Bool;%Q122.2;371HL2
MB2_Pb_Reset_Anomalie;Bool;%I110.6;305SH1
MB2_Pb_Start_Ciclo_Area03;Bool;%I110.7;305SH2
MB2_Pb_Stop_Ciclo_Area03;Bool;%I111.0;305SB1
MB2_Pb_Manuale_Area02;Bool;%I111.1;305SA1
MB2_Pb_Automatico_Area02;Bool;%I111.2;305SA1
MB2_Pb_Start_Ciclo_Area02;Bool;%I111.3;305SH3
MB2_Pb_Stop_Ciclo_Area02;Bool;%I111.4;305SB2
MB2_Pb_Start_Ciclo_Area01;Bool;%I111.5;306SH1
MB2_Pb_Stop_Ciclo_Area01;Bool;%I111.6;306SB1
MB2_Pb_Avanti_Pezzo;Bool;%I111.7;306SB2
MB2_Pb_Comando_Manuale_Jog_Plus;Bool;%I112.0;306SA1
MB2_Pb_Comando_Manuale_Jog_Menus;Bool;%I112.1;306SA1
MB2_Pb_Materiale_Fwd;Bool;%I112.2;306SA2
MB2_Pb_Materiale_Bwd;Bool;%I112.3;306SA2
MB2_Pb_LIBERO;Bool;%I112.6;307 - LIBERO
MB2_Lp_Reset_Anomalie;Bool;%Q110.6;305SH1
MB2_Lp_Start_Ciclo_Area03;Bool;%Q110.7;305SH2
MB2_Lp_Abilitazione_Automatico_Area02;Bool;%Q111.0;305HL1
MB2_Lp_Start_Ciclo_Area02;Bool;%Q111.1;305SH3
MB2_Lp_Start_Ciclo_Area01;Bool;%Q111.2;306SH1
MB2_Lp_Comando_Manuale_Jog_Plus;Bool;%Q111.3;306SA1
MB2_Lp_LIBERO;Bool;%Q111.5;307 - LIBERO
MB2_Pb_Carriage_Zero;Bool;%I112.4;
MB2_Lp_Carriage_Zero;Bool;%Q111.4;306SA1
