Name;DataType;LogicalAddress;Comment
A0303_Navetta_Ax_Scarico_Testa_Ls_Minimo;Bool;%I358.7;2432SQ1
A0303_Navetta_Ax_Scarico_Testa_Ls_Massimo;Bool;%I359.0;2432SQ2
A0303_Navetta_Paletto_Interno_Testa_Ls_Rest;Bool;%I359.1;2440SQ1
A0303_Navetta_Paletto_Interno_Testa_Ls_Work;Bool;%I359.2;2440SQ2
A0303_Navetta_Paletto_Interno_Testa_V_Rest;Bool;%Q364.0;2440YV1
A0303_Navetta_Paletto_Interno_Testa_V_Work;Bool;%Q364.1;2440YV2
A0303_Navetta_Paletto_Interno_Testa_SbloccaggioStelo_V_Work;Bool;%Q364.2;2440YV3 (0 = BLOCCATO , 1 = SBLOCCATO)
A0303_Navetta_Paletto_Esterno_Testa_Ls_Rest;Bool;%I359.3;2442SQ1
A0303_Navetta_Paletto_Esterno_Testa_Ls_Work;Bool;%I359.4;2442SQ2
A0303_Navetta_Paletto_Esterno_Testa_V_Rest;Bool;%Q364.3;2442YV1
A0303_Navetta_Paletto_Esterno_Testa_V_Work;Bool;%Q364.4;2442YV2
A0303_Navetta_Paletto_Esterno_Testa_SbloccaggioStelo_V_Work;Bool;%Q364.5;2442YV3 (0 = BLOCCATO , 1 = SBLOCCATO)
A0303_Navetta_Ax_Scarico_Coda_Ls_Minimo;Bool;%I308.7;2462SQ1
A0303_Navetta_Ax_Scarico_Coda_Ls_Massimo;Bool;%I309.0;2462SQ2
A0303_Navetta_Paletto_Interno_Coda_Ls_Rest;Bool;%I309.1;2470SQ1
A0303_Navetta_Paletto_Interno_Coda_Ls_Work;Bool;%I309.2;2470SQ2
A0303_Navetta_Paletto_Interno_Coda_V_Rest;Bool;%Q313.4;2470YV1
A0303_Navetta_Paletto_Interno_Coda_V_Work;Bool;%Q313.5;2470YV2
A0303_Navetta_Paletto_Interno_Coda_SbloccaggioStelo_V_Work;Bool;%Q313.6;2470YV3 (0 = BLOCCATO , 1 = SBLOCCATO)
A0303_Navetta_Paletto_Esterno_Coda_Ls_Rest;Bool;%I309.3;2472SQ1
A0303_Navetta_Paletto_Esterno_Coda_Ls_Work;Bool;%I309.4;2472SQ2
A0303_Navetta_Paletto_Esterno_Coda_V_Rest;Bool;%Q313.7;2472YV1
A0303_Navetta_Paletto_Esterno_Coda_V_Work;Bool;%Q314.0;2472YV2
A0303_Navetta_Paletto_Esterno_Coda_SbloccaggioStelo_V_Work;Bool;%Q314.1;2472YV3 (0 = BLOCCATO , 1 = SBLOCCATO)
A0303_Phc_1_Controllo_Pacco_In_Carico;Bool;%I359.5;2490BF1
A0303_Phc_2_Controllo_Pacco_In_Carico;Bool;%I359.6;2490BF2
A0303_Phc_1_Controllo_Pacco_In_Scarico;Bool;%I359.7;2500BF1
A0303_Phc_2_Controllo_Pacco_In_Scarico;Bool;%I360.0;2500BF2
A0302_Centratori_Centraggio_2_Centrale_V_Basso;Bool;%Q314.2;2022YV1
A0302_Centratori_Centraggio_2_Centrale_V_Alto;Bool;%Q314.3;2022YV2
A0302_Centratori_Centraggio_2_Centrale_V_Aperto;Bool;%Q314.4;2022YV3
A0302_Centratori_Centraggio_2_Centrale_V_Chiuso;Bool;%Q314.5;2022YV4
A0302_Centratori_Centraggio_3_Testa_V_Basso;Bool;%Q314.6;2024YV1
A0302_Centratori_Centraggio_3_Testa_V_Alto;Bool;%Q314.7;2024YV2
A0302_Centratori_Centraggio_3_Testa_V_Aperto;Bool;%Q315.0;2024YV3
A0302_Centratori_Centraggio_3_Testa_V_Chiuso;Bool;%Q315.1;2024YV4
