Name;DataType;LogicalAddress;Comment
BTRK_A0301_Pos2_Lifter_Up;Int;1;Pos.2 Sollevatore alto con SG sopra che aspetta il Ribaltatore
BTRK_A0301_Pos2_Lifter_Dwn;Int;2;Pos.2 Sollevatore basso con Beams sopra
BTRK_A0301_Pos3_to_Pos4;Int;6;Pos.3 in transito per Pos.4
BTRK_A0301_Pos4_Entry;Int;7;Pos.4 - Beams in entrata
BTRK_A0301_Pos4_Exit;Int;8;Pos.4 - Beams in uscita
BTRK_A0301_Pos4_to_Pos5;Int;9;Pos.4 Fermi P4 - Pos.5 Spintore Laterale 1
BTRK_A0301_Pos5_SpinLat1-2_Solleva;Int;10;Pos.5  Spintore Laterale 1 - Spintore orizzontale per pareggiamento pezzi su Spintore Laterale1 e sollevatori Beams
BTRK_A0301_Pos5.2_Long_PosAttesa;Int;11;Pos5.2 Spintore Longitudinale Attesa Position
BTRK_A0301_Pos5.2_Long_Work_Pos;Int;12;Pos5.2 Spintore Longitudinale Lavoro Position
BTRK_A0301_Free13;Int;13;
BTRK_A0301_Free14;Int;14;
BTRK_A0301_Free15;Int;15;
BTRK_A0301_Free16;Int;16;
BTRK_A0301_Free17;Int;17;
BTRK_A0301_Free18;Int;18;
BTRK_A0301_Free19;Int;19;
BTRK_A0301_Pos2_to_Pos3;Int;3;
BTRK_A0301_Pos3_Entry;Int;4;
BTRK_A0301_Pos3_Exit;Int;5;
BTRK_A0301_Free20;Int;20;
