Name;DataType;LogicalAddress;Comment
R1_SECTOR_1_LEN;LReal;680.0;(mm) Interasse primo / ultimo del settore 1 rulliera di acceleeazione (parte iniziale / rulli magnetici) 
R1_SECTOR_2_LEN;LReal;3340.0;(mm) Interasse primo / ultimo del settore 2 rulliera di acceleeazione (parte centrale) 
R1_SECTOR_3_LEN;LReal;3240.0;(mm) Interasse primo / ultimo del settore 3 rulliera di acceleeazione (parte finale) 
DIST_FLYC_MAX_POS_TO_R1_END;LReal;7910.0;(mm) Distanza tra l'extracorsa SW positivo carro e la fine della rulliera di accelerazione
R1_DISTANCE_END_TO_CHECK_SENSOR;LReal;400.0;(mm) Distanza sensore di controllo intasamento/ deviazione rispetto alla file della rulliera di accelerazion
ROLLFORMER_MAX_VEL;LReal;36000.0;(mm/min) Velocità massima profilatrice
ROLLFORMER_VEL_OVERRIDE_MIN;LReal;10.0;(%) valore minimo dell'override velocità profilatrice 
ROLLFORMER_VEL_OVERRIDE_MAX;LReal;100.0;(%) valore massimo dell'override velocità profilatrice 
PPM_HIGH;LReal;14.0;(Parti/min) Produttivita valore alto richiesta
PPM_LOW;LReal;12.0;(Parti/min) Produttivita valore basso richiesta
FAK_MIN_VALUE;LReal;0.98;Limite minimo valore FAK (fattore di coorezione encoder)
FAK_MAX_VALUE;LReal;1.02;Limite massimo valore FAK (fattore di coorezione encoder)
MATERIAL_COUNTERS_MODULE;LReal;1000000.0;(mm) Modulo del contatore lamiera
FLY_S_MAX_VEL;Real;50000.0;(mm/min) Velocità massima taglio al volo
P_LEN_MIN;Real;899.0;(mm) lunghezza parte minima che può eseguita dalla macchine
P_LEN_MAX;Real;5500.0;(mm) lunghezza parte massima che può eseguita dalla macchine
PLEN_MIN_PPM_MAX;Real;2700.0;(mm) Limite minimo di lunghezza delle parti che garantiscono la produttività massima
PLEN_MAX_PPM_MAX;Real;3000.0;(mm) Limite massimo di lunghezza delle parti che garantiscono la produttività massima
FLY_C_CARRIAGE_MAX_TRAVEL;Real;1200.0;(mm) Massima corsa carro disponibile
PPM_LEN_CHANGE_SHORT_TO_LONG;Real;3000.0;(mm) lunghezza per fare cambio PPM da low a high
PROD_ITEM_TYPE_MES;Int;1;Ordine di produzione caricato da MES
PROD_ITEM_TYPE_HMI;Int;2;Ordine di produzione caricato da Operatore in manuale
PLEN_TOL_MIN_DEFAULT;Real;-1.0;(mm) Tolleranza su lunghezza parti valore minimo da usare se il programma profilo non corrisponde a quello in lavoro
PLEN_TOL_MAX_DEFAULT;Real;0.0;(mm) Tolleranza su lunghezza parti valore massimo da usare se il programma profilo non corrisponde a quello in lavoro
BEAM_A_MIN;Real;40.0;(mm] Misura ALTEZZA minima del pezzo vista dallo scaricatore, A = W  perchè la macchina produce i pezzi ribaltati 
BEAM_A_MAX;Real;45.0;(mm) Misura ALTEZZA massima del pezzo vista dallo scaricatore, A = W  perchè la macchina produce i pezzi ribaltati 
BEAM_B_MIN;Real;60.0;(mm) Misura BASE minima del pezzo vista dallo scaricatore, B = H  perchè la macchina produce i pezzi ribaltati 
BEAM_B_MAX;Real;180.0;(mm) Misura BASE massima del pezzo vista dallo scaricatore, B = H  perchè la macchina produce i pezzi ribaltati 
BEAM_W_MIN;Real;40.0;(mm) Misura BASE minima del pezzo vista dagli ordini di produzione, W = A perchè la macchina produce i pezzi ribaltati 
BEAM_W_MAX;Real;45.0;(mm) Misura BASE massima del pezzo vista dagli ordini di produzione, W = A perchè la macchina produce i pezzi ribaltati 
BEAM_H_MIN;Real;60.0;(mm) Misura ALTEZZA minima del pezzo vista dagli ordini di produzione, H = B perchè la macchina produce i pezzi ribaltati 
BEAM_H_MAX;Real;180.0;(mm) Misura ALTEZZA massima del pezzo vista dagli ordini di produzione, H = B perchè la macchina produce i pezzi ribaltati 
BEAM_TK_MIN;Real;1.25;(mm) Minimo spessore della lamiera del pezzo da contratto
BEAM_TK_MAX;Real;2.5;(mm) Massimo spesso della lamiera del pezzo da contratto
BEAM_LEN_MIN;Real;900.0;(mm) Lunghezza minima di un pezzo da produrre
BEAM_LEN_MAX;Real;5500.0;(mm) Lunghezza massima di un pezzo da produrre
STACK_LAYERS_QTY_MAX_C060;Int;11;Numero massimo di strati in un pacco (modello C060) = NUMERO DI RIGHE = Z PACCO su D03493021.XLSX
STACK_BEAMS_PER_LAYER_QTY_MAX_C060;Int;9;Numero massimo di pezzi in uno strato (modello C060) = NUMERO DI COLONNE = X PACCO su D03493021.XLSX
STACK_BEAMS_PER_LAYER_QTY_MAX_C070;Int;8;Numero massimo di pezzi in uno strato (modello C070 = NUMERO DI COLONNE = X PACCO su D03493021.XLSX
STACK_BEAMS_PER_LAYER_QTY_MAX_C080;Int;7;Numero massimo di pezzi in uno strato (modello C080 = NUMERO DI COLONNE = X PACCO su D03493021.XLSX
STACK_BEAMS_PER_LAYER_QTY_MAX_C090;Int;6;Numero massimo di pezzi in uno strato (modello  C090 = NUMERO DI COLONNE = X PACCO su D03493021.XLSX
STACK_BEAMS_PER_LAYER_QTY_MAX_C100;Int;6;Numero massimo di pezzi in uno strato (modello C100 = NUMERO DI COLONNE = X PACCO su D03493021.XLSX
STACK_BEAMS_PER_LAYER_QTY_MAX_C110;Int;5;Numero massimo di pezzi in uno strato (modello C110 = NUMERO DI COLONNE = X PACCO su D03493021.XLSX
STACK_BEAMS_PER_LAYER_QTY_MAX_C120;Int;5;Numero massimo di pezzi in uno strato (modello  C120 = NUMERO DI COLONNE = X PACCO su D03493021.XLSX
STACK_BEAMS_PER_LAYER_QTY_MAX_C130;Int;4;Numero massimo di pezzi in uno strato (modello  C130 = NUMERO DI COLONNE = X PACCO su D03493021.XLSX
STACK_BEAMS_PER_LAYER_QTY_MAX_C140;Int;4;Numero massimo di pezzi in uno strato (modello C140 = NUMERO DI COLONNE = X PACCO su D03493021.XLSX
STACK_BEAMS_PER_LAYER_QTY_MAX_S140;Int;4;Numero massimo di pezzi in uno strato (modello S140 = NUMERO DI COLONNE = X PACCO su D03493021.XLSX
STACK_BEAMS_PER_LAYER_QTY_MAX_C150;Int;4;Numero massimo di pezzi in uno strato (modello C150 = NUMERO DI COLONNE = X PACCO su D03493021.XLSX
STACK_BEAMS_PER_LAYER_QTY_MAX_C180;Int;3;Numero massimo di pezzi in uno strato (modello C180 = NUMERO DI COLONNE = X PACCO su D03493021.XLSX
STACK_BEAMS_PER_LAYER_QTY_MAX_C200;Int;3;Numero massimo di pezzi in uno strato (modello  C200 = NUMERO DI COLONNE = X PACCO su D03493021.XLSX
STACK_LAYERS_X_MAX;Real;600.0;(mm) Massima larghezza di un pacco, !!! SENZA TENERE CONTO DEL PESO !!!
STACK_LAYERS_Z_MAX;Real;500.0;(mm) Massima altezza di un pacco,  !!! SENZA TENERE CONTO DEL PESO !!!
STACK_LAYERS_QTY_MAX_C070;Int;11;Numero massimo di strati in un pacco (modello C070) = NUMERO DI RIGHE = Z PACCO su D03493021.XLSX
STACK_LAYERS_QTY_MAX_C080;Int;11;Numero massimo di strati in un pacco (modello C080) = NUMERO DI RIGHE = Z PACCO su D03493021.XLSX
STACK_LAYERS_QTY_MAX_C090;Int;11;Numero massimo di strati in un pacco (modello C090) = NUMERO DI RIGHE = Z PACCO su D03493021.XLSX
STACK_LAYERS_QTY_MAX_C100;Int;11;Numero massimo di strati in un pacco (modello C100) = NUMERO DI RIGHE = Z PACCO su D03493021.XLSX
STACK_LAYERS_QTY_MAX_C110;Int;11;Numero massimo di strati in un pacco (modello C110) = NUMERO DI RIGHE = Z PACCO su D03493021.XLSX
STACK_LAYERS_QTY_MAX_C120;Int;11;Numero massimo di strati in un pacco (modello C120) = NUMERO DI RIGHE = Z PACCO su D03493021.XLSX
STACK_LAYERS_QTY_MAX_C130;Int;11;Numero massimo di strati in un pacco (modello C130) = NUMERO DI RIGHE = Z PACCO su D03493021.XLSX
STACK_LAYERS_QTY_MAX_C140;Int;11;Numero massimo di strati in un pacco (modello C140) = NUMERO DI RIGHE = Z PACCO su D03493021.XLSX
STACK_LAYERS_QTY_MAX_S140;Int;11;Numero massimo di strati in un pacco (modello S140) = NUMERO DI RIGHE = Z PACCO su D03493021.XLSX
STACK_LAYERS_QTY_MAX_C150;Int;11;Numero massimo di strati in un pacco (modello C150) = NUMERO DI RIGHE = Z PACCO su D03493021.XLSX
STACK_LAYERS_QTY_MAX_C180;Int;11;Numero massimo di strati in un pacco (modello C180) = NUMERO DI RIGHE = Z PACCO su D03493021.XLSX
STACK_LAYERS_QTY_MAX_C200;Int;10;Numero massimo di strati in un pacco (modello C200) = NUMERO DI RIGHE = Z PACCO su D03493021.XLSX
SET_UP_MAN_ADJUST_MAX;Int;50;Numero massimo di regolazioni manuali da eseguire per preparazione linea
PROFILE_TYPE_ACCOPPIATO;String;'C';Tipo profilo = 1 = Prodotto accoppiato = Beam
PROFILE_TYPE_SEMIGUSCIO;String;'S';Tipo profilo = 1 = Prodotto Semi-Guscio = Part
ORDER_TYPE_FROM_MES;Int;1;Ordine caricato da MES
SETUP_MAN_OPERATIONS_QTY;Int;50;Numero massimo di regolazioni manuali da eseguire per preparazione linea che usano una posizione (REAL)
SETUP_MAN_OP_WITH_CODE_QTY;Int;10;Numero massimo di regolazioni manuali da eseguire per preparazione linea che usano un codice (INT)
