Name;DataType;LogicalAddress;Comment
PROD_SETUP_SPARE_0;Int;0;
PROD_SETUP_WAIT_ORDER_TO_PRODUCE;Int;1;
PROD_SETUP_INIT_LOAD_PPRF;Int;2;
PROD_SETUP_LOAD_PPRF;Int;3;
PROD_SETUP_EXE_AUT_PREPARATION;Int;4;
PROD_SETUP_WAIT_MAN_PREPARATION;Int;5;
PROD_SETUP_WAIT_THREADING_BEGIN;Int;6;
PROD_SETUP_WAIT_THREADING_END;Int;7;
PROD_SETUP_WAIT_LEAD_CUT;Int;8;
PROD_SETUP_PUSH_MES_MSG102;Int;9;
PROD_SETUP_PRODUCTION_READY;Int;10;
PROD_SETUP_X_MATRICE_TAGLIO_INGRESSO;Int;1;Matrice Taglio di ingresso
PROD_SETUP_X_MATRICE_TAGLIO_USCITA;Int;2;Matrice Taglio di uscita
PROD_SETUP_X_MATRICE_IDENTIFICAZIONE_SPESSORE;Int;3;Matrice codice produzione e colata
PROD_SETUP_X_MATRICE_CODICE_IDENTIFICATIVO_ROTOLO;Int;1;Matrice codice produzione e colata
PROD_SETUP_X_MATRICE_CODICE_NUMERO_COLATA;Int;2;Matrice codice produzione e colata
PROD_SETUP_X_RADDRIZZATRICE_GUIDANASTRO_INGRESSO_GRUPPO_LATO_OP;Int;1;Raddrizzatrice - Guidanastro ingresso gruppo lato op
PROD_SETUP_X_RADDRIZZATRICE_GUIDANASTRO_INGRESSO_GRUPPO_LATO_MOT;Int;2;Raddrizzatrice - Guidanastro ingresso gruppo lato mot
PROD_SETUP_X_RADDRIZZATRICE_RULLO_DI_RADDRIZZATURA_1;Int;3;Raddrizzatrice - Rullo di raddrizzatura 1
PROD_SETUP_X_RADDRIZZATRICE_RULLO_DI_RADDRIZZATURA_2;Int;4;Raddrizzatrice - Rullo di raddrizzatura 2
PROD_SETUP_X_RADDRIZZATRICE_RULLO_DI_RADDRIZZATURA_3;Int;5;Raddrizzatrice - Rullo di raddrizzatura 3
PROD_SETUP_X_CESOIA_GUIDANASTRO_INGRESSO_LATO_OP;Int;6;Cesoia - Guidanastro ingresso lato op
PROD_SETUP_X_CESOIA_GUIDANASTRO_INGRESSO_LATO_MOT;Int;7;Cesoia - Guidanastro ingresso lato mot
PROD_SETUP_X_SALDATURA_GUIDANASTRO_INGRESSO_LATO_OP;Int;8;Saldatura - Guidanastro ingresso lato op
PROD_SETUP_X_SALDATURA_GUIDANASTRO_INGRESSO_LATO_MOT;Int;9;Saldatura - Guidanastro ingresso lato mot
PROD_SETUP_X_SALDATURA_REGOLAZIONE_SALDATRICE_AMP;Int;10;Saldatura - Regolazione saldatrice [Amp]
PROD_SETUP_X_SALDATURA_GUIDANASTRO_USCITA_LATO_OP;Int;11;Saldatura - Guidanastro uscita lato op
PROD_SETUP_X_SALDATURA_GUIDANASTRO_USCITA_LATO_MOT;Int;12;Saldatura - Guidanastro uscita lato mot
PROD_SETUP_X_PINCH_ROLL_GUIDANASTRO_USCITA_LATO_OP;Int;13;Pinch-roll - Guidanastro uscita lato op
PROD_SETUP_X_PINCH_ROLL_GUIDANASTRO_USCITA_LATO_MOT;Int;14;Pinch-roll - Guidanastro uscita lato mot
PROD_SETUP_X_INTRODUTTORE_GUIDANASTRO_LATO_OP;Int;15;Introduttore - Guidanastro lato op (Q-INT-op)
PROD_SETUP_X_PROFILATRICE_INTRODUTTORE_GUIDANASTRO_LATO_MOT;Int;16;Profilatrice - Introduttore - Guidanastro lato mot (Q-INT-mot)
PROD_SETUP_X_PROFILATRICE_MODULO_1_GUIDA_PROFILO_1_LATO_OP;Int;17;Profilatrice - Modulo 1 - Guida profilo 1 lato op (Q-M1-G1-op)
PROD_SETUP_X_PROFILATRICE_MODULO_1_GUIDA_PROFILO_1_LATO_MOT;Int;18;Profilatrice - Modulo 1 - Guida profilo 1 lato mot (Q-M1-G1-mot)
PROD_SETUP_X_PROFILATRICE_MODULO_1_GUIDA_PROFILO_2_LATO_OP;Int;19;Profilatrice - Modulo 1 - Guida profilo 2 lato op (Q-M1-G2-op)
PROD_SETUP_X_PROFILATRICE_MODULO_1_GUIDA_PROFILO_2_LATO_MOT;Int;20;Profilatrice - Modulo 1 - Guida profilo 2 lato mot (Q-M1-G2-mot)
PROD_SETUP_X_PROFILATRICE_MODULO_2_GUIDA_PROFILO_1_LATO_OP;Int;21;Profilatrice - Modulo 2 - Guida profilo 1 lato op (Q-M2-G1-op)
PROD_SETUP_X_PROFILATRICE_MODULO_2_GUIDA_PROFILO_1_LATO_MOT;Int;22;Profilatrice - Modulo 2 - Guida profilo 1 lato mot (Q-M2-G1-mot)
PROD_SETUP_X_PROFILATRICE_MODULO_2_GUIDA_PROFILO_2_LATO_OP;Int;23;Profilatrice - Modulo 2 - Guida profilo 2 lato op (Q-M2-G2-op)
PROD_SETUP_X_PROFILATRICE_MODULO_2_GUIDA_PROFILO_2_LATO_MOT;Int;24;Profilatrice - Modulo 2 - Guida profilo 2 lato mot (Q-M2-G2-mot)
PROD_SETUP_X_PROFILATRICE_MODULO_2_GUIDA_PROFILO_3_LATO_OP;Int;25;Profilatrice - Modulo 2 - Guida profilo 3 lato op (Q-M2-G3-op)
PROD_SETUP_X_PROFILATRICE_MODULO_2_GUIDA_PROFILO_3_LATO_MOT;Int;26;Profilatrice - Modulo 2 - Guida profilo 3 lato mot (Q-M2-G3-mot)
PROD_SETUP_X_PROFILATRICE_PASSAGGIO_6_ATTREZZATURA;Int;27;Profilatrice - Passaggio 6 - Attrezzatura (MOT-CA-P6-mot)
PROD_SETUP_X_PROFILATRICE_PASSAGGIO_17_18_ATTREZZATURA_OP;Int;28;Profilatrice - Passaggio 17/18 - Attrezzatura op (A-dP17.18-op)
PROD_SETUP_X_PROFILATRICE_PASSAGGIO_17_18_ATTREZZATURA_MOT;Int;29;Profilatrice - Passaggio 17/18 - Attrezzatura mot (A-dP17.18-mot)
PROD_SETUP_X_PROFILATRICE_RADDRIZZATURA_LARGHEZZA_INGRESSO_MOT;Int;30;Profilatrice - Testa di raddrizzatura - Larghezza ingresso mot (R1-dop)
PROD_SETUP_X_PROFILATRICE_RADDRIZZATURA_LARGHEZZA_INGRESSO_OP;Int;31;Profilatrice - Testa di raddrizzatura - Larghezza ingresso op (R1-dmot)
PROD_SETUP_X_PROFILATRICE_RADDRIZZATURA_LARGHEZZA_USCITA_MOT;Int;32;Profilatrice - Testa di raddrizzatura - Larghezza uscita mot (R2-dop)
PROD_SETUP_X_PROFILATRICE_RADDRIZZATURA_LARGHEZZA_USCITA_OP;Int;33;Profilatrice - Testa di raddrizzatura - Larghezza uscita op (R2-dmot)
PROD_SETUP_X_PROFILATRICE_RADDRIZZATURA_POSIZIONE_IN_Y;Int;34;Profilatrice - Testa di raddrizzatura - Posizione in Y (R-dy)
PROD_SETUP_X_PROFILATRICE_RADDRIZZATURA_POSIZIONE_Z_INGRESSO;Int;35;Profilatrice - Testa di raddrizzatura - Posizione Z ingresso (R1-dz)
PROD_SETUP_X_PROFILATRICE_RADDRIZZATURA_POSIZIONE_Z_USCITA;Int;36;Profilatrice - Testa di raddrizzatura - Posizione Z uscita (R2-dz)
PROD_SETUP_X_PROFILATRICE_RADDRIZZATURA_ROTAZIONE_INGRESSO;Int;37;Profilatrice - Testa di raddrizzatura - Rotazione ingresso (R1-drot [gradiÂ°])
PROD_SETUP_X_PROFILATRICE_RADDRIZZATURA_ROTAZIONE_USCITA;Int;38;Profilatrice - Testa di raddrizzatura - Rotazione uscita (R2-drot [gradiÂ°])
PROD_SETUP_Y_MARCHIATURA_IDENTIFICAZIONE_SPESSORE;Int;3;Profilatrice - Imbutitura - Marchio imbottitura identificazione spessore
PROD_SETUP_Y_MARCHIATURA_TRACCIABILITA;Int;4;Taglio finale - Marchiatura - Marchiatura [Codice produzione e colata]
PROD_SETUP_Y_TAGLIO_FINALE_STACCO_INGRESSO_MATRICI;Int;1;Taglio finale - Stacco ingresso - Matrici di stacco [Codice su matrice] - ING
