Name;DataType;LogicalAddress;Comment
TRASFERIMENTO_STEP_ATTESA;Int;0;
TRASFERIMENTO_STEP_VAI_A_PRELIEVO;Int;1;
TRASFERIMENTO_STEP_PRELIEVO;Int;2;
TRASFERIMENTO_STEP_VAI_A_DEPOSITO;Int;3;
TRASFERIMENTO_STEP_DEPOSITO;Int;4;
SOLLEVATORE_STEP_VAI_A_PRE_PRELIEVO_POS_0;Int;1;
SOLLEVATORE_STEP_ATTESA;Int;0;
SOLLEVATORE_STEP_VAI_A_DEPOSITO;Int;4;
SOLLEVATORE_STEP_VAI_A_PRE_PRELIEVO;Int;2;
SOLLEVATORE_STEP_VAI_A_PRELIEVO;Int;3;
NAVETTA_ATTESA;Int;0;
NAVETTA_VAI_A_PRELIEVO;Int;1;
NAVETTA_PRELIEVO;Int;2;
NAVETTA_VAI_A_DEPOSITO;Int;3;
NAVETTA_DEPOSITO;Int;4;
