Name;DataType;LogicalAddress;Comment
A01_Straightener_Ax_Actor_Interface_AddressIn;PD_TEL106_IN;%I438.0;
A01_Straightener_Ax_Actor_Interface_AddressOut;PD_TEL106_OUT;%Q438.0;
A02_Carriage_Actor_Interface_AddressIn;PD_TEL106_IN;%I408.0;
A02_Carriage_Actor_Interface_AddressOut;PD_TEL106_OUT;%Q408.0;
A02_Rollformer_Actor_Interface_AddressIn;PD_TEL106_IN;%I316.0;
A02_Rollformer_Actor_Interface_AddressOut;PD_TEL106_OUT;%Q316.0;
FlyingCarriage_MinStroke;Bool;%I370.0;754SQ1  Flying Carriage Minimum Stroke limit switch
FlyingCarriage_MaxStroke;Bool;%I370.1;754SQ1  Flying Carriage Maximum Stroke limit switch
S120_CU470A1_IN;Tel393In_PM;%I366.0;
Rollformer_MaxStroke;Bool;%I368.3;
Rollformer_MinStroke;Bool;%I368.2;
Wheel_MeasInput_Interface_Address;Bool;%I369.4;
CutCarriage_MeasuInput_Interface_Address;Bool;%I369.6;
ZeroChk_MeasIn_Interface_Address;Bool;%I369.3;
Weld_MeasInput_Interface_Address;Bool;%I369.0;
Gripper_MeasuInput_Interface_Address;Bool;%I369.5;
CutWheel_MeasInput_Interface_Address;Bool;%I369.7;
